chub
n;m;a;i;s;opt;it;time;optcore;itcore;timecore;best
int;int;float;int;int;int;int;float;int;int;float;int
100;5;0.50;4;9;44192;291;1.366650;45006;0;0.204237;45090
100;5;0.50;4;10;44187;287;1.450724;45006;0;0.203684;45090
100;5;0.75;1;1;59516;260;1.367023;59798;5;0.203234;59822
100;5;0.75;1;2;59274;148;1.141109;59798;0;0.165457;59822
100;5;0.75;1;3;59123;203;1.154306;59798;1;0.200315;59822
100;5;0.75;1;4;59264;245;1.156211;59798;1;0.201288;59822
100;5;0.75;1;5;59386;257;1.392869;59798;4;0.184893;59822
100;5;0.75;1;6;59372;166;0.917981;59798;3;0.158011;59822
100;5;0.75;1;7;59155;204;1.169200;59798;5;0.160700;59822
100;5;0.75;1;8;59036;276;1.431082;59798;0;0.157985;59822
100;5;0.75;1;9;59277;176;1.171424;59798;0;0.164188;59822
100;5;0.75;1;10;59129;238;1.172744;59798;1;0.159530;59822
100;5;0.75;2;1;61667;165;1.266699;61964;1;0.186008;62081
100;5;0.75;2;2;61298;260;1.507673;61964;3;0.196276;62081
100;5;0.75;2;3;61629;254;1.540658;61964;0;0.192196;62081
100;5;0.75;2;4;61409;286;1.409655;61964;3;0.145100;62081
100;5;0.75;2;5;61507;296;1.496189;61964;6;0.148579;62081
100;5;0.75;2;6;61513;246;1.426691;61964;0;0.151722;62081
100;5;0.75;2;7;60839;227;1.566178;61964;3;0.157411;62081
100;5;0.75;2;8;61096;290;1.565678;61964;0;0.151777;62081
100;5;0.75;2;9;61581;298;1.580671;61964;0;0.147282;62081
100;5;0.75;2;10;61489;256;1.357305;61964;0;0.150524;62081
100;5;0.75;3;1;59548;240;1.224000;59754;0;0.165889;59802
100;5;0.75;3;2;59299;292;1.464155;59754;1;0.183982;59802
100;5;0.75;3;3;59562;289;1.334003;59754;2;0.158346;59802
100;5;0.75;3;4;59425;237;1.329128;59754;2;0.170582;59802
100;5;0.75;3;5;59322;268;1.520509;59754;5;0.175772;59802
100;5;0.75;3;6;59186;276;1.170835;59754;3;0.190448;59802
100;5;0.75;3;7;59424;223;1.286737;59754;1;0.167113;59802
100;5;0.75;3;8;59546;282;1.267059;59754;0;0.154876;59802
100;5;0.75;3;9;59409;288;1.356275;59754;0;0.157485;59802
100;5;0.75;3;10;59331;287;1.486839;59754;3;0.202275;59802
100;5;0.75;4;1;59371;204;1.315589;60355;1;0.144259;60479
100;5;0.75;4;2;59893;230;1.027382;60355;0;0.177910;60479
100;5;0.75;4;3;60178;204;1.411100;60355;1;0.183382;60479
100;5;0.75;4;4;59762;224;1.315051;60355;0;0.179714;60479
100;5;0.75;4;5;59849;238;1.355243;60355;0;0.176057;60479
100;5;0.75;4;6;59812;265;1.320564;60355;0;0.149608;60479
100;5;0.75;4;7;59347;184;1.563116;60355;0;0.149231;60479
100;5;0.75;4;8;60178;266;1.057088;60355;0;0.152638;60479
100;5;0.75;4;9;60162;233;1.533974;60355;3;0.162636;60479
100;5;0.75;4;10;59509;195;1.109973;60355;0;0.178511;60479
100;10;0.25;1;1;22443;200;1.352924;22954;9;0.257107;23064
100;10;0.25;1;2;22405;214;1.197988;22954;0;0.268052;23064
100;10;0.25;1;3;22636;253;1.370004;22954;11;0.269793;23064
100;10;0.25;1;4;22699;177;1.324774;22954;5;0.234527;23064
100;10;0.25;1;5;22471;222;1.128691;22954;8;0.209010;23064
100;10;0.25;1;6;22005;244;1.388930;22954;16;0.257539;23064
100;10;0.25;1;7;22630;158;0.842198;22954;18;0.232658;23064
100;10;0.25;1;8;22589;186;1.344627;22954;18;0.249353;23064
100;10;0.25;1;9;22163;195;1.408309;22954;0;0.230462;23064
100;10;0.25;1;10;22226;136;0.998521;22954;86;0.246349;23064
100;10;0.25;2;1;21690;223;1.342316;22750;8;0.148177;22801
100;10;0.25;2;2;21709;175;1.238766;22750;43;0.257890;22801
100;10;0.25;2;3;21940;221;1.335597;22750;9;0.243046;22801
100;10;0.25;2;4;21944;295;1.463659;22750;1;0.232738;22801
100;10;0.25;2;5;21793;78;0.981216;22750;6;0.195434;22801
100;10;0.25;2;6;22416;241;1.501497;22750;25;0.208124;22801
100;10;0.25;2;7;21673;186;1.231739;22750;1;0.229647;22801
100;10;0.25;2;8;21885;144;1.228585;22750;0;0.236107;22801
100;10;0.25;2;9;21849;286;1.583985;22750;5;0.232100;22801
100;10;0.25;2;10;21704;234;1.336372;22750;6;0.231878;22801
100;10;0.25;3;1;21301;252;1.378723;22081;41;0.388636;22131
100;10;0.25;3;2;20946;187;1.141012;22081;7;0.344682;22131
100;10;0.25;3;3;20966;98;1.340747;22081;3;0.271872;22131
100;10;0.25;3;4;21411;208;1.351673;22081;23;0.311903;22131
100;10;0.25;3;5;21263;282;1.548018;22081;101;0.388574;22131
100;10;0.25;3;6;21048;194;1.270495;22081;46;0.407083;22131
100;10;0.25;3;7;21362;111;1.031628;22081;11;0.398367;22131
100;10;0.25;3;8;20671;101;0.907306;22081;6;0.302330;22131
100;10;0.25;3;9;21133;213;1.279446;22081;1;0.267667;22131
100;10;0.25;3;10;20845;157;1.591208;22081;25;0.354287;22131
100;10;0.25;4;1;21960;253;1.546541;22694;9;0.225589;22772
100;10;0.25;4;2;21952;190;1.317368;22694;6;0.270920;22772
100;10;0.25;4;3;22111;205;1.550983;22694;2;0.245658;22772
100;10;0.25;4;4;21952;199;1.321907;22694;12;0.184849;22772
100;10;0.25;4;5;21869;175;1.486419;22694;8;0.162178;22772
100;10;0.25;4;6;22123;218;1.076230;22694;25;0.248601;22772
100;10;0.25;4;7;21780;168;1.415554;22694;13;0.224455;22772
100;10;0.25;4;8;22122;249;1.378512;22694;27;0.240699;22772
100;10;0.25;4;9;21952;150;1.123505;22694;10;0.259326;22772
100;10;0.25;4;10;21862;268;1.575706;22694;8;0.254698;22772
100;10;0.50;1;1;39679;274;1.753116;41331;7;0.186849;41395
100;10;0.50;1;2;40071;233;1.362450;41331;21;0.240629;41395
100;10;0.50;1;3;39909;281;1.575760;41331;14;0.240058;41395
100;10;0.50;1;4;40265;271;1.536676;41331;17;0.211434;41395
100;10;0.50;1;5;39809;265;1.849574;41331;20;0.242930;41395
100;10;0.50;1;6;39763;272;1.389670;41331;2;0.229981;41395
