chub
n;m;a;i;s;opt;it;time;optcore;itcore;timecore;best
int;int;float;int;int;int;int;float;int;int;float;int
250;5;0.25;4;6;55444;222;2.946572;59356;171;0.746905;59463
250;5;0.25;4;7;55847;265;3.172749;59362;89;0.654034;59463
250;5;0.25;4;8;55350;199;2.640167;59379;16;0.661211;59463
250;5;0.25;4;9;56182;292;3.400420;59380;283;0.716060;59463
250;5;0.25;4;10;55830;279;3.033871;59396;86;0.643141;59463
250;5;0.50;1;1;103547;256;2.940807;109023;85;0.796095;109109
250;5;0.50;1;2;103039;281;3.113241;109022;210;0.638062;109109
250;5;0.50;1;3;102918;264;2.692393;109004;219;0.700060;109109
250;5;0.50;1;4;104137;299;3.110971;108985;248;0.681442;109109
250;5;0.50;1;5;103393;242;2.862182;109009;265;0.675399;109109
250;5;0.50;1;6;103603;276;2.753480;108982;290;0.697722;109109
250;5;0.50;1;7;103473;293;3.198392;108982;13;0.693966;109109
250;5;0.50;1;8;103518;282;3.011592;109003;232;0.654158;109109
250;5;0.50;1;9;103443;266;2.931009;109044;205;0.525887;109109
250;5;0.50;1;10;103729;283;3.002062;109022;150;0.798419;109109
250;5;0.50;2;1;103966;266;2.780538;109712;195;0.550976;109841
250;5;0.50;2;2;104517;268;2.094605;109715;173;0.730867;109841
250;5;0.50;2;3;104631;299;2.063010;109769;189;0.760212;109841
250;5;0.50;2;4;104180;214;2.120889;109753;83;0.706363;109841
250;5;0.50;2;5;104787;290;2.856007;109708;215;0.709713;109841
250;5;0.50;2;6;104462;295;2.450743;109718;108;0.697767;109841
250;5;0.50;2;7;103995;298;2.164957;109773;229;0.688749;109841
250;5;0.50;2;8;104172;293;2.994050;109777;239;0.700608;109841
250;5;0.50;2;9;103741;274;2.833193;109762;203;0.697105;109841
250;5;0.50;2;10;104319;245;2.390346;109739;258;0.715840;109841
250;5;0.50;3;1;103201;293;3.010127;108478;134;0.720619;108508
250;5;0.50;3;2;102633;279;2.703990;108463;2;0.610093;108508
250;5;0.50;3;3;102025;291;2.913412;108469;3;0.749159;108508
250;5;0.50;3;4;102317;269;3.106611;108466;189;0.768480;108508
250;5;0.50;3;5;102705;297;2.257897;108463;132;0.628132;108508
250;5;0.50;3;6;102718;288;3.092840;108447;179;0.713148;108508
250;5;0.50;3;7;103083;257;3.068510;108472;160;0.796393;108508
250;5;0.50;3;8;102498;260;3.019108;108472;230;0.841797;108508
250;5;0.50;3;9;103899;287;2.370466;108446;57;0.774313;108508
250;5;0.50;3;10;102466;238;3.225330;108478;37;0.766783;108508
250;5;0.50;4;1;103916;250;2.194463;109282;1;0.656568;109383
250;5;0.50;4;2;103418;283;2.764232;109273;284;0.606333;109383
250;5;0.50;4;3;103677;285;2.798319;109312;253;0.626370;109383
250;5;0.50;4;4;103929;258;2.368923;109298;282;0.679010;109383
250;5;0.50;4;5;103670;290;2.645568;109309;147;0.658556;109383
250;5;0.50;4;6;104110;296;3.056646;109298;5;0.617050;109383
250;5;0.50;4;7;103909;295;2.985885;109294;210;0.614678;109383
250;5;0.50;4;8;103286;286;3.190879;109301;131;0.637528;109383
250;5;0.50;4;9;103200;259;2.433734;109334;142;0.623697;109383
250;5;0.50;4;10;104010;283;2.764517;109261;63;0.726461;109383
250;5;0.75;1;1;146101;273;3.105365;149575;266;0.708982;149665
250;5;0.75;1;2;146070;295;3.231399;149565;42;0.682166;149665
250;5;0.75;1;3;145594;281;3.064533;149567;101;0.691009;149665
250;5;0.75;1;4;145000;285;2.877935;149597;156;0.803637;149665
250;5;0.75;1;5;146020;200;2.585511;149601;281;0.771672;149665
250;5;0.75;1;6;145429;286;3.400704;149618;231;0.535360;149665
250;5;0.75;1;7;145775;236;2.364631;149600;31;0.865845;149665
250;5;0.75;1;8;146403;284;3.163434;149613;1;0.817529;149665
250;5;0.75;1;9;145682;299;3.287067;149587;177;0.703046;149665
250;5;0.75;1;10;145820;239;3.039873;149581;234;0.701349;149665
250;5;0.75;2;1;151605;289;3.028718;155881;100;0.511575;155944
250;5;0.75;2;2;152252;290;2.874819;155893;294;0.635631;155944
250;5;0.75;2;3;152026;264;2.620451;155898;283;0.706218;155944
250;5;0.75;2;4;152375;284;2.489007;155940;59;0.659610;155944
250;5;0.75;2;5;152758;299;2.556336;155864;209;0.634711;155944
250;5;0.75;2;6;152549;275;3.081731;155880;40;0.475615;155944
250;5;0.75;2;7;151656;276;2.807235;155893;145;0.642893;155944
250;5;0.75;2;8;152598;299;2.906748;155846;257;0.801215;155944
250;5;0.75;2;9;151728;258;2.792805;155854;197;0.544054;155944
250;5;0.75;2;10;152813;285;2.748835;155898;16;0.621256;155944
250;5;0.75;3;1;146132;212;2.971160;149259;228;0.708354;149334
250;5;0.75;3;2;146180;286;3.149812;149259;1;0.545979;149334
250;5;0.75;3;3;145757;263;2.537713;149300;77;0.852390;149334
250;5;0.75;3;4;146099;238;3.042622;149279;215;0.720956;149334
250;5;0.75;3;5;145795;269;2.695405;149280;290;0.745901;149334
250;5;0.75;3;6;145880;288;2.989506;149278;57;0.754120;149334
250;5;0.75;3;7;145672;275;2.890091;149290;83;0.753553;149334
250;5;0.75;3;8;145588;230;2.838363;149280;179;0.807038;149334
250;5;0.75;3;9;146063;291;2.771310;149271;222;0.848479;149334
250;5;0.75;3;10;145654;238;2.736816;149302;198;0.844971;149334
250;5;0.75;4;1;147656;287;3.261319;152106;224;0.499522;152130
250;5;0.75;4;2;147590;243;2.326559;152075;47;0.514689;152130
250;5;0.75;4;3;147999;223;2.904825;152073;32;0.652896;152130
250;5;0.75;4;4;147746;278;3.215844;152106;75;0.646693;152130
250;5;0.75;4;5;148107;280;3.451915;152088;97;0.669771;152130
250;5;0.75;4;6;148095;298;2.824665;152073;294;0.658701;152130
250;5;0.75;4;7;147753;285;3.092746;152059;167;0.639838;152130
250;5;0.75;4;8;148051;276;2.475607;152066;8;0.407835;152130
250;5;0.75;4;9;147981;297;3.070145;152061;133;0.709565;152130
250;5;0.75;4;10;147622;287;2.991058;152076;252;0.756145;152130
250;10;0.25;1;1;55051;295;2.876471;58949;96;0.864476;59187
250;10;0.25;1;2;54796;287;3.289820;58875;168;0.737988;59187
250;10;0.25;1;3;55631;267;2.254484;58901;156;0.819827;59187
250;10;0.25;1;4;55438;279;3.011072;59133;81;0.927948;59187
250;10;0.25;1;5;54400;267;3.037686;58939;292;0.633628;59187
250;10;0.25;1;6;55100;261;2.996732;58919;1;0.833012;59187
250;10;0.25;1;7;54535;283;3.413677;58854;288;0.822603;59187
250;10;0.25;1;8;54747;277;3.292455;58994;210;0.827934;59187
250;10;0.25;1;9;54518;296;3.040958;58996;296;0.894495;59187
250;10;0.25;1;10;55183;239;3.045492;58886;281;0.889593;59187
250;10;0.25;2;1;55461;255;2.869538;58421;118;0.777065;58781
250;10;0.25;2;2;55178;252;3.330742;58464;169;0.855625;58781
250;10;0.25;2;3;55731;256;2.950652;58557;164;0.988663;58781
250;10;0.25;2;4;55560;284;2.635981;58461;80;0.891969;58781
250;10;0.25;2;5;55857;244;2.789955;58530;150;0.862290;58781
250;10;0.25;2;6;55387;270;2.988128;58443;278;0.868028;58781
250;10;0.25;2;7;55342;285;3.006740;58593;150;0.864938;58781
250;10;0.25;2;8;55047;282;2.945810;58543;245;0.818612;58781
250;10;0.25;2;9;54964;263;2.935982;58440;5;0.862470;58781
250;10;0.25;2;10;55419;272;2.818947;58506;24;0.737413;58781
250;10;0.25;3;1;53662;235;2.694400;57938;138;0.922381;58097
250;10;0.25;3;2;54630;259;3.111872;57850;189;1.077315;58097
250;10;0.25;3;3;54050;291;2.955594;57793;26;1.069571;58097
250;10;0.25;3;4;53516;258;3.294167;57825;136;1.069389;58097
250;10;0.25;3;5;54185;287;3.243817;57793;168;0.927789;58097
250;10;0.25;3;6;54152;290;2.303116;57868;189;1.059354;58097
250;10;0.25;3;7;53935;266;3.106027;57891;87;1.073183;58097
250;10;0.25;3;8;53345;254;2.778906;57906;17;0.759577;58097
250;10;0.25;3;9;53566;287;2.808119;57878;237;0.941712;58097
250;10;0.25;3;10;53224;263;3.206238;57927;22;0.895967;58097
250;10;0.25;4;1;57288;236;2.754535;60758;133;0.935700;61000
250;10;0.25;4;2;57142;297;2.757441;60801;252;1.038357;61000
250;10;0.25;4;3;56890;274;3.309698;60705;260;0.679358;61000
250;10;0.25;4;4;56952;299;2.467681;60854;16;0.992734;61000
250;10;0.25;4;5;56693;280;3.081190;60736;227;1.034945;61000
250;10;0.25;4;6;57490;275;2.915135;60742;253;0.899512;61000
250;10;0.25;4;7;57275;280;3.007514;60872;217;0.901172;61000
250;10;0.25;4;8;57186;285;3.084158;60716;293;1.046722;61000
250;10;0.25;4;9;56363;280;3.475224;60883;226;0.911979;61000
250;10;0.25;4;10;57427;261;3.233517;60820;255;0.983114;61000
250;10;0.50;1;1;103772;284;3.594860;110655;279;0.735285;110913
250;10;0.50;1;2;104368;281;3.431334;110592;129;0.431736;110913
250;10;0.50;1;3;104375;283;3.464654;110672;53;0.596802;110913
250;10;0.50;1;4;104685;282;3.435606;110624;98;0.550816;110913
250;10;0.50;1;5;103564;296;3.493647;110702;237;0.843980;110913
250;10;0.50;1;6;104065;265;3.394939;110691;168;0.620776;110913
250;10;0.50;1;7;103818;296;3.537312;110711;23;0.562412;110913
250;10;0.50;1;8;104428;293;2.503689;110572;248;0.584729;110913
250;10;0.50;1;9;104209;231;2.919464;110681;151;0.715295;110913
250;10;0.50;1;10;104220;267;3.167242;110585;278;0.719187;110913
250;10;0.50;2;1;102600;296;2.558281;108537;163;0.669757;108717
250;10;0.50;2;2;102904;289;2.825894;108458;265;0.831180;108717
250;10;0.50;2;3;103608;290;2.402715;108487;19;0.975769;108717
250;10;0.50;2;4;103077;288;2.995196;108410;151;0.852730;108717
250;10;0.50;2;5;102651;299;3.049390;108466;142;0.911090;108717
250;10;0.50;2;6;102497;275;2.559644;108429;201;0.975606;108717
250;10;0.50;2;7;103059;278;3.061724;108456;99;0.756921;108717
250;10;0.50;2;8;103483;287;3.295068;108479;115;0.878424;108717
250;10;0.50;2;9;103105;289;3.396681;108445;139;0.839628;108717
250;10;0.50;2;10;102882;260;2.465524;108380;60;0.856628;108717
250;10;0.50;3;1;103019;257;3.399142;108705;100;0.921032;108932
250;10;0.50;3;2;103029;288;3.052485;108742;265;0.982269;108932
250;10;0.50;3;3;102532;296;3.103199;108794;234;0.988719;108932
250;10;0.50;3;4;103064;260;3.260350;108765;257;0.986705;108932
250;10;0.50;3;5;101738;246;3.580661;108720;46;0.699287;108932
250;10;0.50;3;6;103002;290;2.813411;108735;114;0.832405;108932
250;10;0.50;3;7;102114;276;3.596759;108742;104;0.861310;108932
250;10;0.50;3;8;103442;256;3.177076;108650;274;0.969060;108932
250;10;0.50;3;9;102930;256;2.952074;108603;70;0.915008;108932
250;10;0.50;3;10;102824;285;2.916115;108617;65;0.984422;108932
250;10;0.50;4;1;104638;295;3.533846;109899;151;0.798273;110086
250;10;0.50;4;2;104644;258;2.229893;109755;280;0.891924;110086
250;10;0.50;4;3;104929;286;2.838703;109862;284;0.992182;110086
250;10;0.50;4;4;104347;262;3.035522;109850;147;0.973932;110086
250;10;0.50;4;5;104443;292;3.377436;109923;12;0.873874;110086
250;10;0.50;4;6;104519;283;2.210861;109880;203;0.864336;110086
250;10;0.50;4;7;104589;271;3.215791;109861;112;0.868317;110086
250;10;0.50;4;8;104909;253;3.210885;109800;42;0.880093;110086
250;10;0.50;4;9;105423;277;2.922948;109907;167;0.995484;110086
250;10;0.50;4;10;104991;234;2.926714;109794;284;1.004923;110086
250;10;0.75;1;1;146683;258;2.999560;151601;72;0.810088;151809
250;10;0.75;1;2;147297;240;3.132040;151552;150;0.779353;151809
250;10;0.75;1;3;147417;258;3.164589;151570;286;0.786052;151809
250;10;0.75;1;4;146396;298;3.110716;151560;16;0.893153;151809
250;10;0.75;1;5;146987;272;3.227877;151666;231;0.891116;151809
250;10;0.75;1;6;146981;279;3.291836;151724;5;0.885768;151809
250;10;0.75;1;7;148032;265;3.284504;151601;83;0.834149;151809
250;10;0.75;1;8;147156;296;3.047426;151599;47;0.905624;151809
250;10;0.75;1;9;147259;210;3.732750;151557;11;0.604402;151809
250;10;0.75;1;10;147943;298;3.214004;151604;31;0.776069;151809
250;10;0.75;2;1;145578;284;3.055665;148605;218;0.778623;148772
250;10;0.75;2;2;145111;291;3.131158;148686;67;0.430245;148772
250;10;0.75;2;3;144882;295;2.895533;148686;285;0.905648;148772
250;10;0.75;2;4;144811;280;2.751332;148686;210;0.713756;148772
250;10;0.75;2;5;144699;221;2.692898;148621;16;0.766582;148772
250;10;0.75;2;6;145026;285;2.236513;148686;269;0.563466;148772
250;10;0.75;2;7;145135;290;2.710982;148609;27;0.915738;148772
250;10;0.75;2;8;145416;281;3.161461;148665;125;0.568336;148772
250;10;0.75;2;9;144888;210;3.302916;148649;244;0.772485;148772
250;10;0.75;2;10;145746;283;3.222278;148657;162;0.760065;148772
250;10;0.75;3;1;147788;282;3.307329;151733;23;0.840454;151909
250;10;0.75;3;2;146642;259;3.221073;151832;291;0.964376;151909
250;10;0.75;3;3;148067;276;3.034420;151827;154;0.959590;151909
250;10;0.75;3;4;148221;299;3.403371;151709;275;0.956222;151909
250;10;0.75;3;5;147611;290;2.510528;151715;215;0.805957;151909
250;10;0.75;3;6;147002;284;2.433444;151723;213;0.703051;151909
250;10;0.75;3;7;147791;284;3.070624;151773;86;0.615454;151909
250;10;0.75;3;8;147937;294;2.699950;151781;118;0.876516;151909
250;10;0.75;3;9;147150;293;3.238397;151682;84;0.659940;151909
250;10;0.75;3;10;146919;294;3.334051;151675;261;0.856975;151909
250;10;0.75;4;1;147255;263;3.074248;151169;202;0.835675;151324
250;10;0.75;4;2;146992;280;3.078192;151088;71;0.947677;151324
250;10;0.75;4;3;146526;289;3.379261;151068;163;0.897669;151324
250;10;0.75;4;4;147501;297;3.446742;151124;31;0.912926;151324
250;10;0.75;4;5;146350;281;3.412467;151135;258;0.813671;151324
250;10;0.75;4;6;146513;272;3.412667;151225;22;0.828242;151324
250;10;0.75;4;7;146096;222;3.402843;151147;205;0.811517;151324
250;10;0.75;4;8;145750;295;3.426264;151095;166;0.872882;151324
250;10;0.75;4;9;146024;295;3.668055;151179;213;0.834603;151324
250;10;0.75;4;10;146556;263;3.155665;151159;15;0.817830;151324
250;30;0.25;1;1;52551;260;3.796681;55726;289;1.538335;56842
250;30;0.25;1;2;52675;299;3.696664;55871;154;1.755120;56842
250;30;0.25;1;3;53172;273;3.690942;55909;2;1.359671;56842
250;30;0.25;1;4;53090;235;3.938148;55992;103;1.609945;56842
250;30;0.25;1;5;53313;293;4.011456;55926;199;1.623168;56842
250;30;0.25;1;6;52579;234;4.016771;56018;148;1.566344;56842
250;30;0.25;1;7;53312;296;3.927777;56145;251;1.601725;56842
250;30;0.25;1;8;53224;297;4.019161;55785;98;1.533619;56842
250;30;0.25;1;9;52444;246;3.977232;55790;280;1.655862;56842
250;30;0.25;1;10;52897;215;3.866932;56083;175;1.687662;56842
250;30;0.25;2;1;54296;298;3.821094;57648;189;1.306286;58520
250;30;0.25;2;2;54332;261;3.693310;57486;140;1.533783;58520
250;30;0.25;2;3;54070;289;4.148986;57697;11;1.429408;58520
250;30;0.25;2;4;54633;279;3.738784;57672;155;1.487601;58520
250;30;0.25;2;5;54510;299;3.756071;57383;118;1.248977;58520
250;30;0.25;2;6;54235;291;3.451344;57524;298;1.527328;58520
250;30;0.25;2;7;54144;255;3.590360;57530;60;1.492311;58520
250;30;0.25;2;8;54589;285;3.515068;57579;72;1.594433;58520
250;30;0.25;2;9;54961;297;3.524229;57516;276;1.627040;58520
250;30;0.25;2;10;54442;272;3.798552;57528;77;1.541550;58520
250;30;0.25;3;1;53242;259;3.592929;55681;14;1.691288;56614
250;30;0.25;3;2;52773;299;3.659237;55864;5;1.482778;56614
250;30;0.25;3;3;53450;256;3.603850;56015;202;1.212117;56614
250;30;0.25;3;4;53481;249;3.230477;55803;253;1.495276;56614
250;30;0.25;3;5;53519;272;2.842985;55754;108;1.488161;56614
250;30;0.25;3;6;53570;243;3.160641;55769;137;1.204996;56614
250;30;0.25;3;7;53115;294;3.213173;55828;239;1.630257;56614
250;30;0.25;3;8;54031;298;2.912546;55788;101;1.541035;56614
250;30;0.25;3;9;53457;286;3.542477;55979;256;1.701416;56614
250;30;0.25;3;10;53198;298;3.345471;55913;117;1.613868;56614
250;30;0.25;4;1;53303;270;3.836164;56017;132;1.645281;56930
250;30;0.25;4;2;53481;297;3.665875;55915;80;1.561609;56930
250;30;0.25;4;3;53323;292;3.539929;55976;23;1.631057;56930
250;30;0.25;4;4;52899;295;4.089214;55999;220;1.637280;56930
250;30;0.25;4;5;52518;172;3.845272;56058;150;1.688923;56930
250;30;0.25;4;6;52860;205;3.784444;55881;65;1.788524;56930
250;30;0.25;4;7;53548;281;3.771024;55930;174;1.361120;56930
250;30;0.25;4;8;53637;280;3.756459;56035;131;1.686528;56930
250;30;0.25;4;9;53424;296;3.226074;55871;173;1.632242;56930
250;30;0.25;4;10;53003;285;3.559052;55977;167;1.586863;56930
250;30;0.50;1;1;101704;296;3.744278;107065;77;1.579988;107770
250;30;0.50;1;2;101237;285;3.816860;106946;54;1.568247;107770
250;30;0.50;1;3;102756;277;3.501332;106926;183;1.625128;107770
250;30;0.50;1;4;102136;293;3.721389;107010;275;1.669885;107770
250;30;0.50;1;5;101557;279;3.597245;107039;8;1.616938;107770
250;30;0.50;1;6;102132;296;3.808949;107007;104;1.788629;107770
250;30;0.50;1;7;102657;296;3.807413;107071;124;1.831765;107770
250;30;0.50;1;8;102274;294;3.305448;107063;76;1.756892;107770
250;30;0.50;1;9;102888;286;3.871367;107080;28;1.814048;107770
250;30;0.50;1;10;101453;293;4.027453;107113;156;1.502533;107770
250;30;0.50;2;1;102568;284;3.488615;107851;262;1.314004;108392
250;30;0.50;2;2;102818;288;3.076935;107854;216;1.217831;108392
250;30;0.50;2;3;102230;296;3.900070;107710;126;1.050320;108392
250;30;0.50;2;4;101594;238;3.505914;107673;213;1.509233;108392
250;30;0.50;2;5;102520;249;3.520613;107845;288;1.182278;108392
250;30;0.50;2;6;102637;283;3.860275;107537;293;1.578764;108392
250;30;0.50;2;7;102392;287;3.519642;107847;188;1.324435;108392
250;30;0.50;2;8;101868;248;3.914715;107662;221;1.278085;108392
250;30;0.50;2;9;101815;255;3.699184;107836;148;0.870568;108392
250;30;0.50;2;10;102019;276;3.545240;107597;8;1.322102;108392
250;30;0.50;3;1;99674;279;4.594386;105853;167;1.166039;106442
250;30;0.50;3;2;99914;282;4.016071;105972;143;0.979587;106442
250;30;0.50;3;3;99421;266;4.200163;105845;236;0.981480;106442
250;30;0.50;3;4;100609;296;4.376411;105844;184;1.260396;106442
250;30;0.50;3;5;99332;296;5.025651;105892;237;1.242419;106442
250;30;0.50;3;6;99449;293;4.289650;105913;143;1.391206;106442
250;30;0.50;3;7;99581;297;4.331890;105817;138;1.415324;106442
250;30;0.50;3;8;99967;277;4.551754;105861;258;1.209897;106442
250;30;0.50;3;9;100205;278;4.502494;105851;161;0.915797;106442
250;30;0.50;3;10;99677;279;4.105369;105856;261;1.445953;106442
250;30;0.50;4;1;101792;247;4.042899;106272;206;1.364629;106876
250;30;0.50;4;2;101599;286;3.525424;106483;223;1.300384;106876
250;30;0.50;4;3;101109;298;3.667193;106276;194;1.454312;106876
250;30;0.50;4;4;100764;284;3.720090;106254;265;1.248432;106876
250;30;0.50;4;5;100010;281;3.835649;106186;262;1.207206;106876
250;30;0.50;4;6;100608;233;4.134345;106165;282;1.272783;106876
250;30;0.50;4;7;100522;289;3.820621;106310;229;1.339423;106876
250;30;0.50;4;8;101052;251;3.993680;106186;213;0.971664;106876
250;30;0.50;4;9;100747;295;3.490808;106262;272;1.316908;106876
250;30;0.50;4;10;101002;267;3.728429;106247;117;1.431195;106876
250;30;0.75;1;1;145638;299;3.845780;149640;274;1.577510;150163
250;30;0.75;1;2;145248;258;4.222992;149572;183;1.410996;150163
250;30;0.75;1;3;144989;288;4.340298;149515;225;1.424548;150163
250;30;0.75;1;4;144986;261;3.667412;149612;268;1.444093;150163
250;30;0.75;1;5;145010;295;3.855258;149486;252;1.381669;150163
250;30;0.75;1;6;145890;297;4.061841;149551;240;1.526415;150163
250;30;0.75;1;7;145407;298;3.948736;149783;174;1.422897;150163
250;30;0.75;1;8;144488;269;4.592862;149483;116;1.448865;150163
250;30;0.75;1;9;144623;291;3.696990;149450;30;1.461394;150163
250;30;0.75;1;10;144897;292;3.862012;149460;246;1.702375;150163
250;30;0.75;2;1;144146;299;3.985820;149309;136;1.666699;149958
250;30;0.75;2;2;144960;284;3.182653;149305;180;1.445126;149958
250;30;0.75;2;3;144436;287;3.851252;149381;225;1.490477;149958
250;30;0.75;2;4;144556;290;3.828315;149231;244;1.640759;149958
250;30;0.75;2;5;143787;262;4.451836;149291;285;1.451212;149958
250;30;0.75;2;6;144641;277;4.647519;149184;205;1.434423;149958
250;30;0.75;2;7;144144;254;3.937477;149218;228;1.643611;149958
250;30;0.75;2;8;143980;242;3.722156;149198;297;1.447403;149958
250;30;0.75;2;9;144677;294;3.719781;149343;259;1.431061;149958
250;30;0.75;2;10;144497;229;3.983293;149148;280;1.709048;149958
250;30;0.75;3;1;147874;270;3.962852;152589;249;1.339367;153007
250;30;0.75;3;2;148673;278;4.061436;152456;212;1.442317;153007
250;30;0.75;3;3;148610;292;3.905379;152551;267;1.484329;153007
250;30;0.75;3;4;147989;193;4.102413;152522;196;1.432988;153007
250;30;0.75;3;5;146717;287;3.983657;152321;250;1.474016;153007
250;30;0.75;3;6;147264;283;3.802341;152277;269;1.692504;153007
250;30;0.75;3;7;148487;261;3.976593;152349;58;1.529888;153007
250;30;0.75;3;8;148408;298;4.421870;152511;141;1.428195;153007
250;30;0.75;3;9;148208;275;3.709420;152328;289;1.638840;153007
250;30;0.75;3;10;148323;277;3.855928;152322;155;1.440591;153007
250;30;0.75;4;1;147541;298;3.329680;152724;282;1.517986;153234
250;30;0.75;4;2;147706;268;4.368425;152770;255;1.657514;153234
250;30;0.75;4;3;148768;284;4.248269;152710;291;1.679228;153234
250;30;0.75;4;4;148340;265;4.739614;152359;153;1.491574;153234
250;30;0.75;4;5;147234;274;4.273611;152434;212;1.603016;153234
250;30;0.75;4;6;147119;297;4.172706;152462;174;1.772584;153234
250;30;0.75;4;7;148285;279;4.242291;152464;220;1.766558;153234
250;30;0.75;4;8;147106;207;4.882959;152503;248;1.593486;153234
250;30;0.75;4;9;147831;297;4.264928;152702;293;1.684607;153234
250;30;0.75;4;10;147275;297;4.494431;152404;144;1.583907;153234
500;5;0.25;1;1;109373;284;5.967698;119914;36;1.253480;120148
500;5;0.25;1;2;110231;264;6.154500;119879;283;1.373439;120148
500;5;0.25;1;3;109817;288;5.595525;119963;188;1.412392;120148
500;5;0.25;1;4;109699;287;5.679714;119977;160;1.283669;120148
500;5;0.25;1;5;109429;268;5.767966;119902;130;1.234109;120148
500;5;0.25;1;6;109125;274;5.856538;119935;186;1.258881;120148
500;5;0.25;1;7;109559;274;5.669281;119949;117;1.304827;120148
500;5;0.25;1;8;108618;296;6.090212;119882;140;1.287255;120148
500;5;0.25;1;9;109037;294;5.869370;119922;22;1.298528;120148
500;5;0.25;1;10;109553;280;5.619582;119913;11;1.319985;120148
500;5;0.25;2;1;108025;296;5.836782;117567;222;1.277361;117879
500;5;0.25;2;2;108251;264;5.569347;117545;58;1.168082;117879
500;5;0.25;2;3;109454;239;5.904660;117539;86;1.233242;117879
500;5;0.25;2;4;108338;281;5.595196;117571;160;1.396159;117879
500;5;0.25;2;5;107677;291;4.949020;117627;37;1.216057;117879
500;5;0.25;2;6;108147;239;5.367387;117568;116;1.207750;117879
500;5;0.25;2;7;107746;263;5.569822;117529;23;1.219326;117879
500;5;0.25;2;8;107995;299;5.856734;117559;174;1.163497;117879
500;5;0.25;2;9;107992;286;5.719838;117578;64;1.229948;117879
500;5;0.25;2;10;107671;299;6.257365;117630;133;1.291225;117879
500;5;0.25;3;1;110817;289;5.833225;120850;244;0.883350;121131
500;5;0.25;3;2;110622;238;6.076371;120779;68;0.922172;121131
500;5;0.25;3;3;110747;292;6.047499;120796;169;0.873560;121131
500;5;0.25;3;4;109658;278;6.066329;120820;192;0.938706;121131
500;5;0.25;3;5;110413;283;6.208024;120770;50;0.855396;121131
500;5;0.25;3;6;109541;259;5.926273;120881;145;0.965824;121131
500;5;0.25;3;7;111190;298;6.254249;120824;59;0.993945;121131
500;5;0.25;3;8;111449;294;5.532761;120831;151;0.900310;121131
500;5;0.25;3;9;110162;231;6.119004;120816;286;0.867836;121131
500;5;0.25;3;10;109415;258;5.917611;120819;8;0.876379;121131
500;5;0.25;4;1;111266;256;5.778858;120579;101;1.308599;120804
500;5;0.25;4;2;111455;283;6.415067;120529;266;1.368063;120804
500;5;0.25;4;3;112234;289;5.596327;120511;27;1.294308;120804
500;5;0.25;4;4;111183;292;5.846328;120522;19;1.382734;120804
500;5;0.25;4;5;111061;289;5.756755;120485;22;1.395134;120804
500;5;0.25;4;6;111806;282;5.649623;120536;41;1.393802;120804
500;5;0.25;4;7;111356;273;5.537523;120609;189;1.397089;120804
500;5;0.25;4;8;111992;281;5.656832;120581;107;1.406921;120804
500;5;0.25;4;9;112010;292;5.630786;120501;38;1.422061;120804
500;5;0.25;4;10;110896;295;5.997884;120570;229;1.399137;120804
500;5;0.50;1;1;202951;282;6.094669;218222;131;1.418512;218428
500;5;0.50;1;2;206341;279;5.379916;218221;170;1.418673;218428
500;5;0.50;1;3;203950;275;5.352740;218248;185;1.261326;218428
500;5;0.50;1;4;205499;296;5.387443;218253;113;1.338632;218428
500;5;0.50;1;5;204526;249;5.572397;218163;240;1.301162;218428
500;5;0.50;1;6;203747;246;5.435682;218218;4;1.230035;218428
500;5;0.50;1;7;205814;299;5.135532;218272;10;1.407578;218428
500;5;0.50;1;8;204059;288;5.599144;218233;248;1.332971;218428
500;5;0.50;1;9;205576;268;5.504934;218211;130;1.415326;218428
500;5;0.50;1;10;205419;290;5.794174;218246;85;1.105448;218428
500;5;0.50;2;1;205395;290;5.603354;220904;96;1.425655;221202
500;5;0.50;2;2;205788;271;6.711462;220887;245;1.441908;221202
500;5;0.50;2;3;207879;282;6.490515;220907;66;1.430904;221202
500;5;0.50;2;4;206220;285;6.435317;220942;97;1.427352;221202
500;5;0.50;2;5;205035;284;6.549643;220937;212;1.361570;221202
500;5;0.50;2;6;206317;263;6.005021;220941;257;1.261345;221202
500;5;0.50;2;7;205708;288;5.668142;220946;181;1.125454;221202
500;5;0.50;2;8;205311;299;6.151790;220910;153;1.377998;221202
500;5;0.50;2;9;205322;280;6.222147;220939;14;1.303950;221202
500;5;0.50;2;10;205721;293;6.011352;221008;32;1.278825;221202
500;5;0.50;3;1;204411;297;5.517849;217294;3;1.164541;217542
500;5;0.50;3;2;204503;274;5.384204;217329;100;1.188915;217542
500;5;0.50;3;3;204289;295;5.353318;217349;70;1.187347;217542
500;5;0.50;3;4;205427;286;5.577130;217237;139;1.221573;217542
500;5;0.50;3;5;203867;293;5.762300;217332;286;1.273625;217542
500;5;0.50;3;6;203671;251;5.700757;217289;171;1.321378;217542
500;5;0.50;3;7;204006;289;5.736627;217334;152;1.316863;217542
500;5;0.50;3;8;204275;290;5.832219;217298;12;1.306137;217542
500;5;0.50;3;9;204195;272;5.485129;217270;4;1.274521;217542
500;5;0.50;3;10;204335;288;5.180772;217261;243;1.150994;217542
500;5;0.50;4;1;205979;268;6.254791;223300;236;1.163806;223560
500;5;0.50;4;2;208952;279;6.429823;223208;85;1.236302;223560
500;5;0.50;4;3;208557;280;6.984438;223253;40;1.213938;223560
