gk
i;s;n;m;opt;it;time;optcore;itcore;timecore;best
int;int;int;int;int;int;float;int;int;float;int
11;1;2500;100;93296;76;150.944809;94932;0;0.156617;95219
11;2;2500;100;93266;21;134.181259;94934;0;0.149851;95219
11;3;2500;100;93220;200;126.177299;94947;0;0.142878;95219
11;4;2500;100;93254;243;119.007050;94937;0;0.150245;95219
11;5;2500;100;93272;276;123.246162;94944;0;0.158405;95219
11;6;2500;100;93272;293;102.482521;94927;0;0.148358;95219
11;7;2500;100;93229;236;118.744682;94916;0;0.149591;95219
11;8;2500;100;93272;279;120.100357;94955;0;0.156272;95219
11;9;2500;100;93296;297;110.991768;94929;0;0.145647;95219
11;10;2500;100;93263;290;106.922142;94959;0;0.153860;95219
