mokp
cls;ndim;m;n;i;nd;comp;time;maxnd
char;int;int;int;int;int;int;float;int
A;2;4;20;1;172;1683761;0.054;1366
A;3;4;20;1;172;484207;0.037;1366
A;4;4;20;1;172;132447;0.029;1366
A;1;4;20;2;52;206094;0.004;371
A;2;4;20;2;51;62911;0.004;362
A;3;4;20;2;51;38703;0.004;362
A;4;4;20;2;51;28742;0.004;362
A;1;4;20;3;102;1211386;0.022;903
A;2;4;20;3;102;729958;0.024;903
A;3;4;20;3;102;113160;0.018;903
A;4;4;20;3;102;93155;0.018;903
A;1;4;20;4;133;1527489;0.028;1161
A;2;4;20;4;133;974795;0.032;1160
A;3;4;20;4;133;199068;0.022;1160
A;4;4;20;4;133;96883;0.019;1160
A;1;4;20;5;308;4151262;0.078;1759
A;2;4;20;5;307;1757399;0.069;1759
A;3;4;20;5;307;1129406;0.062;1759
A;4;4;20;5;307;172798;0.039;1759
A;1;4;20;6;71;258311;0.006;433
A;2;4;20;6;68;84732;0.006;433
A;3;4;20;6;68;48898;0.006;433
A;4;4;20;6;68;40061;0.005;433
A;1;4;20;7;55;99445;0.003;247
A;2;4;20;7;55;35136;0.003;247
A;3;4;20;7;55;23241;0.003;247
A;4;4;20;7;55;21136;0.003;247
A;1;4;20;8;84;953752;0.018;785
A;2;4;20;8;84;469920;0.018;785
A;3;4;20;8;84;118729;0.014;785
A;4;4;20;8;84;76212;0.013;785
A;1;4;20;9;63;349353;0.007;452
A;2;4;20;9;63;190232;0.008;452
A;3;4;20;9;63;45302;0.006;452
A;4;4;20;9;63;39495;0.006;452
A;1;4;20;10;153;1891744;0.033;1260
A;2;4;20;10;153;992512;0.035;1260
A;3;4;20;10;153;142481;0.024;1260
A;4;4;20;10;153;121047;0.023;1260
A;1;4;30;1;455;147963772;4.204;9342
A;2;4;30;1;455;80140170;2.737;9339
A;3;4;30;1;455;19770980;1.832;9339
A;4;4;30;1;455;1675201;1.006;9339
A;1;4;30;2;168;10062576;0.183;2443
A;2;4;30;2;167;2373651;0.132;2439
A;3;4;30;2;167;686508;0.091;2439
A;4;4;30;2;167;367539;0.083;2439
A;1;4;30;3;445;27842624;0.583;4067
A;2;4;30;3;445;13687133;0.493;4067
A;3;4;30;3;445;1449798;0.287;4067
A;4;4;30;3;445;724746;0.282;4067
A;1;4;30;4;317;23034145;0.489;4183
A;2;4;30;4;317;14032628;0.475;4181
A;3;4;30;4;317;2088915;0.257;4181
A;4;4;30;4;317;676550;0.214;4181
A;1;4;30;5;559;75884021;1.808;6181
A;2;4;30;5;559;26753518;1.117;6178
A;3;4;30;5;559;14036751;0.883;6178
A;4;4;30;5;559;1231944;0.507;6178
A;1;4;30;6;113;3922564;0.071;1664
A;2;4;30;6;111;1071518;0.060;1656
A;3;4;30;6;111;465404;0.051;1656
A;4;4;30;6;111;243837;0.044;1656
A;1;4;30;7;181;5972997;0.103;1999
A;2;4;30;7;173;1165062;0.071;1856
A;3;4;30;7;173;365358;0.054;1856
A;4;4;30;7;173;267213;0.053;1856
A;1;4;30;8;529;36276143;0.790;5655
A;2;4;30;8;529;19156536;0.682;5655
A;3;4;30;8;529;2367450;0.339;5655
A;4;4;30;8;529;733394;0.296;5655
A;1;4;30;9;291;24217393;0.489;3584
A;2;4;30;9;291;14793298;0.489;3584
A;3;4;30;9;291;868974;0.228;3584
A;4;4;30;9;291;643540;0.216;3584
A;1;4;30;10;743;108307327;3.046;8850
A;2;4;30;10;740;52930839;2.083;8847
C;1;3;40;3;2803;5783358606;528.900;59119
A;1;4;40;1;1299;2478051417;216.634;38620
A;3;4;50;2;1742;494239141;67.959;42395
A;2;4;50;3;2562;4369609264;581.785;75314
A;3;4;50;9;1471;53534974;30.379;35766
C;2;4;30;3;1778;156084655;8.787;20101
C;2;4;30;4;1552;154827770;8.033;14807
C;1;4;30;5;2281;589361908;36.884;20324
C;3;4;30;7;3164;7501822;4.248;29173
C;1;4;30;8;1484;191050213;6.262;11758
C;4;4;30;8;1481;1682019;0.832;11716
C;2;4;30;9;1216;40799036;2.509;12598
C;3;4;30;9;1216;1807284;0.812;12598
C;4;4;30;9;1216;1726577;0.929;12598
C;2;4;30;10;3893;1088776221;110.848;52705
A;1;3;80;2;1657;52954024473;5264.276;128241
A;2;3;80;10;2191;13154084788;1664.842;126538
A;1;2;40;1;30;1926701;0.036;1460
A;2;2;60;5;62;852179;0.221;2019
A;1;2;60;7;96;159877652;3.660;9234
A;2;2;80;7;154;10529250;21.242;19578
A;2;2;120;3;162;30524084;122.010;37640
A;2;2;100;8;213;23299810;148.440;35786
B;1;2;250;9;25;153475232;4.352;16762
B;2;2;250;6;21;12026511;14.629;8729
B;1;2;250;10;25;164329960;3.973;17352
B;1;2;300;1;28;352721478;9.887;27519
B;2;2;250;10;24;20491234;24.593;16719
B;1;2;300;8;15;212725902;6.148;21230
B;2;2;300;3;16;18383334;26.201;9305
C;1;2;20;1;27;107890;0.003;241
C;2;2;20;1;27;23422;0.003;241
C;1;2;20;2;41;162679;0.003;343
C;2;2;20;2;41;28181;0.004;343
C;1;2;20;4;20;69114;0.002;211
C;1;2;20;5;39;146725;0.003;309
C;1;2;20;6;31;174830;0.003;301
C;1;2;20;7;65;551733;0.009;655
C;1;2;20;8;45;170528;0.003;315
C;1;2;20;9;25;89390;0.002;227
C;1;2;20;10;36;146420;0.003;418
C;2;2;40;1;70;742306;0.223;3072
C;1;2;40;2;107;29012060;0.474;4428
C;2;2;40;3;120;762414;0.294;3427
C;2;2;40;4;89;608980;0.160;2167
C;2;2;40;5;106;699863;0.218;3302
C;1;2;40;7;173;149144211;3.560;8143
C;2;2;60;2;323;6328888;10.761;14161
C;2;2;60;3;227;6892382;17.065;17011
B;2;2;300;9;25;40116747;71.935;19105
C;1;2;60;7;301;2512141597;116.723;28805
C;2;2;80;9;343;22256361;180.695;39393
C;1;2;80;3;393;9986963713;675.770;53887
D;2;2;30;5;267;2635685;4.686;13936
C;2;2;100;4;382;48464626;616.090;59662
D;2;2;40;3;582;18234562;314.204;60089
D;1;2;40;7;460;2591872880;200.836;33784
D;1;2;40;10;394;1543142121;94.950;28902
D;2;2;40;10;378;7934606;35.883;27967
A;2;3;50;2;447;236664390;15.293;19053
A;3;3;50;2;447;5816787;5.922;19053
A;1;3;50;3;748;1179083452;60.530;23789
A;2;3;70;2;1070;4370006215;492.234;81362
A;2;3;80;2;1643;13705506618;2056.651;127528
C;1;3;20;2;336;3216789;0.053;1572
C;3;3;20;6;211;155254;0.028;1598
C;1;3;20;9;104;1133771;0.018;945
C;1;3;30;1;777;112147422;2.790;7752
C;1;3;30;5;1943;567229851;20.295;19320
C;3;3;40;3;2772;13934972;35.574;58477
C;2;3;40;5;3373;4123122723;407.783;76651
C;3;4;30;1;4964;30524563;10.605;43058
C;4;4;30;1;4964;7182971;8.226;43058
C;1;4;30;2;1622;489576886;18.963;16909
A;1;3;80;9;2073;69834863918;6859.395;198588
A;2;2;40;2;17;119060;0.018;513
A;2;2;40;1;30;264469;0.046;1392
A;2;2;60;6;109;2493647;1.678;6832
A;2;2;80;2;70;3511677;2.373;7125
A;2;2;100;3;139;13652547;29.818;20000
A;1;2;100;6;196;3718455743;202.078;31398
C;1;2;60;1;200;452586187;15.216;13790
C;2;2;60;4;175;4325456;4.717;10463
C;1;2;60;5;241;717116174;26.228;15952
C;2;2;80;1;323;23675104;173.526;41842
D;2;2;30;6;304;4422791;21.418;21232
D;1;2;30;10;175;106841755;2.843;8666
D;2;2;30;10;175;1718371;1.630;8381
D;2;2;40;1;440;9193762;62.667;33131
D;1;2;40;3;605;7949185838;648.239;61261
C;2;2;100;1;544;85936146;2979.894;114672
A;2;3;60;1;1374;5150609706;582.250;52749
A;1;3;60;5;1411;4422054559;365.603;42313
A;1;3;60;8;1088;3739271415;308.262;40396
C;1;2;100;10;599;41528307638;5049.053;99321
A;3;3;80;10;2191;63295003;660.183;126538
A;4;4;50;2;1742;11620851;20.813;42395
A;1;4;50;3;2569;10069299674;739.588;75496
C;2;4;30;1;4964;718779687;51.145;43058
A;1;3;80;3;3540;77951415382;8653.282;157531
A;2;3;80;7;3336;38397792900;4429.008;182486
A;1;2;40;2;17;816209;0.023;513
A;1;2;40;3;38;4048866;0.081;1446
A;2;2;40;3;38;295594;0.080;1446
A;2;2;40;4;30;237131;0.058;1154
A;1;2;60;10;70;20025545;0.325;3158
A;2;2;60;8;59;1372537;0.515;3489
A;2;2;80;10;110;4293114;3.144;7907
A;2;2;80;9;173;7974293;17.416;14849
A;2;2;80;1;108;9849657;18.147;20224
A;1;2;80;1;111;768105964;28.254;21092
A;2;2;120;2;164;25753634;93.375;30915
B;1;2;150;8;0;4;0.000;0
B;1;2;150;9;14;8683132;0.352;3921
B;2;2;150;9;14;3090833;1.652;3862
B;1;2;200;2;7;20803210;0.916;6540
B;1;2;200;3;8;7004359;0.343;3189
B;2;2;200;3;8;3369843;2.525;3145
B;1;2;200;4;11;6374024;0.364;2619
B;2;2;200;4;7;3438765;1.996;2561
B;1;2;200;5;14;29764416;1.084;7014
B;2;2;200;5;14;7298339;6.008;6639
B;2;2;200;10;18;6764729;5.493;6043
B;2;2;250;2;15;15265558;20.344;9518
A;1;2;120;2;165;3384642273;160.532;31179
B;2;2;250;9;21;23983577;34.008;16055
B;1;2;300;9;26;310461360;10.162;19872
C;1;2;20;3;37;191729;0.004;345
C;2;2;20;3;37;32110;0.004;343
C;2;2;20;4;20;18926;0.002;211
C;2;2;20;5;39;28646;0.004;308
C;2;2;20;6;31;30054;0.004;301
C;2;2;20;7;65;62367;0.009;638
C;2;2;20;8;45;28873;0.004;315
C;2;2;20;9;25;19291;0.002;226
C;2;2;20;10;36;32950;0.005;415
C;1;2;40;1;70;18274673;0.296;3091
C;2;2;40;2;107;889910;0.381;4409
C;1;2;40;3;120;26714813;0.431;3438
C;1;2;40;4;91;10433695;0.164;2190
C;1;2;40;5;111;23205265;0.370;3425
C;1;2;40;6;81;17629432;0.272;2910
C;2;2;40;6;79;677687;0.257;2907
C;2;2;40;7;172;2263014;1.993;8095
C;1;2;40;8;86;10288965;0.149;1987
C;2;2;40;8;85;489139;0.109;1979
C;1;2;40;9;86;18662815;0.285;2776
C;2;2;40;9;86;664245;0.247;2761
C;2;2;40;10;103;926315;0.357;3999
C;2;2;60;1;197;5367632;7.523;13690
B;2;2;300;6;18;31760704;62.737;15111
C;2;2;60;8;184;3897351;4.137;9543
C;1;2;60;3;230;901271367;35.192;17169
C;1;2;60;10;202;636355826;21.612;15901
A;1;2;100;9;230;5043951098;368.411;40038
C;1;2;80;4;283;2807721620;122.336;28335
C;1;2;80;1;326;5488452485;354.991;42697
C;2;2;80;10;306;24262987;236.720;40379
A;1;2;120;6;249;10769368730;779.366;45889
C;1;2;80;10;309;6483709353;515.428;41908
D;1;2;20;1;204;3427632;0.048;1835
D;2;2;20;1;192;150276;0.031;1767
D;1;2;20;2;153;6958914;0.103;2652
D;2;2;20;2;146;264949;0.076;2639
D;1;2;20;3;241;14874955;0.236;3648
D;2;2;20;3;238;371706;0.166;3581
D;1;2;20;4;218;9474348;0.143;2937
D;2;2;20;4;205;314895;0.085;2704
D;1;2;20;5;114;5228624;0.076;1997
D;2;2;20;5;112;227125;0.066;1914
D;1;2;20;6;165;21683974;0.367;4445
D;2;2;20;6;162;483526;0.303;4359
D;1;2;20;7;145;10936082;0.171;3366
D;2;2;20;7;136;330922;0.124;3196
D;1;2;20;8;211;13353105;0.209;3382
D;2;2;20;8;210;365581;0.208;3352
D;1;2;20;9;196;7365099;0.108;2386
D;2;2;20;9;196;253569;0.098;2362
D;1;2;20;10;102;2831448;0.042;1848
D;2;2;20;10;98;173245;0.040;1839
D;1;2;30;1;246;183652802;5.191;10962
D;2;2;30;1;241;1864369;2.110;10571
D;1;2;30;2;225;304839541;10.397;14657
D;2;2;30;3;358;4087784;12.145;19256
D;1;2;30;4;224;344917216;11.452;16766
D;2;2;30;4;218;2954528;4.302;16293
D;1;2;30;5;275;299633558;10.219;14296
D;2;2;40;7;436;10213469;56.760;32103
D;2;2;40;8;581;18904484;364.066;66116
D;2;2;50;2;560;39543311;1384.475;101263
D;1;2;50;7;504;19465218130;1689.702;84078
A;2;3;50;3;742;329651345;25.036;23729
A;3;3;60;1;1374;20964714;96.709;52749
A;1;3;60;2;753;4342119280;330.842;45330
A;2;3;60;3;1183;1302088073;125.701;53055
A;1;3;60;4;976;3535169759;247.310;38458
A;1;3;60;9;952;3345825585;244.989;46407
A;1;3;70;10;1277;8636343755;673.986;54527
A;3;3;80;2;1643;80213565;705.184;127528
A;3;3;80;3;3512;96300594;1313.853;156680
A;2;3;80;3;3512;25444851478;3755.188;156680
A;1;4;50;4;1440;2052014925;120.729;38354
A;2;3;80;8;1751;14170566912;1696.499;129525
A;4;4;50;7;3905;22526476;72.534;91809
A;4;4;50;5;3953;37573698;196.960;108514
A;4;4;50;8;1496;18469512;45.832;48995
A;2;4;50;9;1471;1486542836;97.982;35766
A;4;4;50;9;1471;11081083;25.822;35766
A;1;4;50;8;1499;6230142051;441.257;49183
C;4;4;30;7;3164;5018685;5.405;29173
C;2;4;30;8;1481;39569002;2.051;11716
C;3;4;30;8;1481;4169815;0.887;11716
C;2;4;30;7;3164;308511462;21.119;29173
C;1;4;30;9;1216;207063346;6.245;12608
C;3;4;30;10;3893;8865113;13.387;52705
C;4;4;30;10;3893;7685053;15.605;52705
A;2;4;50;5;3953;7902975294;740.248;108514
C;1;4;30;10;3929;3109464881;170.255;53076
A;1;4;50;5;3981;25781010991;1927.490;109018
A;2;4;50;10;7150;33689601339;3684.642;190325
A;2;3;80;9;2065;40493703178;3343.994;197619
A;1;4;50;10;7176;65784028861;6017.969;190869
A;1;2;40;5;19;1006330;0.025;891
A;1;2;40;4;30;1623780;0.041;1155
A;2;2;40;5;19;139148;0.030;888
A;2;2;40;6;71;286557;0.083;1366
A;1;2;60;8;61;33096751;0.551;3544
A;1;2;60;9;80;97318731;2.014;5724
A;1;2;80;2;71;151575588;3.316;7189
