nitems;find;prove;profit;split;first;last;ns;sol
int;int;int;int;int;int;int;int;string
5;0;0;1223;4;3;2;2;11000
5;0;0;1215;4;3;2;2;11000
5;0;0;1623;6;5;4;4;11110
5;0;0;1258;5;4;3;3;11100
5;0;0;2023;5;4;3;3;11100
5;0;0;1673;5;4;3;3;11100
5;0;0;2040;5;4;3;3;11100
5;4;4;1600;4;2;3;2;10100
5;0;0;1585;5;4;3;3;11100
5;3;3;2164;5;3;4;3;11010
5;0;0;2057;5;4;3;3;11100
5;0;0;1294;5;4;3;3;11100
5;0;0;1222;5;4;3;3;11100
5;2;2;1241;4;3;5;3;11001
5;0;0;1297;4;3;2;2;11000
5;3;3;1104;4;3;5;3;11001
5;13;13;1608;4;1;3;2;01100
5;0;0;1380;4;3;2;2;11000
5;1;1;1835;4;3;4;3;11010
5;6;6;1635;4;2;3;2;10100
5;7;7;2292;5;2;4;3;10110
5;0;0;1356;4;3;2;2;11000
5;5;5;1638;4;2;4;3;10110
5;0;0;1716;4;3;2;2;11000
5;0;0;1912;4;3;2;2;11000
5;0;0;1384;5;4;3;3;11100
5;3;3;1707;5;3;4;3;11010
5;0;0;2550;5;4;3;3;11100
5;0;0;1935;5;4;3;3;11100
5;0;0;2866;5;4;3;3;11100
5;12;12;1076;4;1;3;2;01100
5;0;0;1084;5;4;3;3;11100
5;0;0;1354;4;3;2;2;11000
5;0;0;2220;5;4;3;3;11100
5;0;0;1319;5;4;3;3;11100
5;0;0;1117;5;4;3;3;11100
5;0;0;2262;5;4;3;3;11100
5;0;0;2051;5;4;3;3;11100
5;0;0;1469;4;3;2;2;11000
5;1;1;2059;4;3;4;3;11010
5;0;0;1155;5;4;3;3;11100
5;1;1;2132;4;3;4;3;11010
5;1;1;2197;4;3;4;3;11010
5;10;10;1667;4;1;3;2;01100
5;0;0;2396;5;4;3;3;11100
5;10;10;1597;4;1;3;2;01100
5;0;0;1441;4;3;2;2;11000
5;1;1;1917;5;4;5;4;11101
5;3;3;1361;5;3;4;3;11010
5;0;0;2212;5;4;3;3;11100
5;0;0;1762;5;4;3;3;11100
5;1;1;1697;4;3;4;3;11010
