mokp
ndim;t;m;n;i;nd;ncomp;time;maxnd
int;int;int;int;int;int;int;float;int
1;1;2;90;7;224;3077702324;288.371;28980
1;1;2;110;7;308;12521401226;1133.379;52315
1;1;2;110;8;263;12777070934;1195.254;62212
1;3;2;10;8;12;3471;0.001;46
1;3;2;10;5;18;6754;0.002;74
1;3;2;10;3;12;4346;0.002;54
1;1;2;30;0;18;377771;0.071;509
1;1;2;30;2;20;220143;0.043;302
1;3;2;20;5;39;146725;0.027;309
1;3;2;20;9;25;89390;0.017;227
1;3;2;30;2;80;3373475;0.215;1364
1;1;2;50;8;36;6249745;0.481;1659
1;3;2;30;7;90;8378871;0.510;2331
1;3;2;30;8;80;1324177;0.094;774
1;1;2;50;9;75;29017152;1.852;3732
1;3;2;40;0;62;6714527;0.429;1753
1;3;2;40;8;86;10288965;0.667;1987
1;3;2;40;2;107;29012060;1.849;4428
1;1;2;70;5;68;52719697;3.478;4874
1;1;2;70;3;91;127718828;8.424;5553
1;3;2;50;0;173;129866792;8.810;7682
1;3;2;50;6;126;93671701;6.210;5671
1;3;2;50;3;173;183061538;12.512;8541
1;1;2;90;0;97;311940041;21.435;9459
1;1;2;90;5;170;602598681;43.808;16540
1;3;2;60;0;263;894684866;72.921;17813
1;1;2;110;2;131;1719237076;143.334;22333
1;3;2;60;6;200;442757870;33.132;11504
1;3;2;60;3;230;901271367;74.927;17169
1;3;2;60;9;226;670819408;46.608;15844
1;1;2;110;3;160;2812004583;230.239;29598
1;1;2;110;5;230;3355132013;280.342;30383
1;1;2;90;3;133;940529361;59.750;15864
1;3;2;10;6;7;1251;0.000;18
1;1;2;30;1;14;327617;0.034;509
1;3;2;10;9;4;2405;0.000;32
1;1;2;30;4;20;231560;0.025;405
1;3;2;20;1;27;107890;0.011;241
1;3;2;20;8;45;170528;0.015;315
1;1;2;50;5;24;3772755;0.297;1465
1;3;2;30;3;73;3107865;0.222;1090
1;3;2;30;5;118;3663445;0.247;1497
1;3;2;40;1;70;18274673;1.209;3091
1;1;2;70;2;60;44106812;2.975;3664
1;1;2;70;8;142;125314060;9.082;6470
1;3;2;50;4;94;51750799;3.578;4948
1;3;2;50;8;135;65511774;4.381;4723
1;1;2;90;1;166;1712443415;155.635;29421
1;3;2;60;7;301;2512141597;280.134;28805
1;1;2;90;6;181;2275789613;214.241;27657
1;1;2;110;1;203;6244748974;665.029;46280
1;1;2;10;0;4;629;0.000;14
1;1;2;30;3;29;903202;0.069;606
1;3;2;20;7;65;551733;0.042;655
1;3;2;20;4;20;69114;0.008;211
1;3;2;30;0;103;7313485;0.473;2138
1;3;2;40;4;91;10433695;0.713;2190
1;1;2;70;1;86;229650830;16.012;12848
1;1;2;110;0;164;3784778377;314.774;30516
1;1;2;10;1;3;262;0.000;7
1;1;2;10;2;3;436;0.000;13
1;1;2;30;5;22;230487;0.025;420
1;1;2;50;2;35;3569628;0.276;1145
1;3;2;30;6;65;4427718;0.294;1512
1;3;2;40;5;111;23205265;1.542;3425
1;1;2;10;3;5;1332;0.000;26
1;1;2;10;5;4;758;0.000;22
1;3;2;20;2;41;162679;0.014;343
1;3;2;30;1;60;1363874;0.105;859
1;3;2;40;6;81;17629432;1.162;2910
1;1;2;90;4;89;314443159;22.207;11583
1;1;2;10;6;5;478;0.000;9
1;1;2;10;9;2;130;0.000;6
1;1;2;10;8;4;433;0.000;13
1;1;2;30;7;22;282540;0.028;384
1;3;2;20;6;31;174830;0.015;301
1;3;2;20;3;37;191729;0.017;345
1;1;2;50;4;54;6293201;0.470;1872
1;3;2;30;4;47;1363942;0.105;964
1;3;2;30;9;46;1271130;0.093;811
1;3;2;40;9;86;18662815;1.206;2776
1;1;2;70;4;77;63880420;4.359;5208
1;3;2;40;7;173;149144211;10.036;8143
1;3;2;50;1;125;110137239;7.398;6960
1;3;2;50;5;170;212077986;14.680;9035
1;3;2;50;7;292;503659596;40.680;13760
1;3;2;60;1;200;452586187;34.258;13790
1;3;2;60;2;350;653761942;51.832;14695
1;3;2;60;4;183;271733467;19.690;10571
1;3;2;60;5;241;717116174;56.112;15952
1;1;2;110;6;221;5820484169;495.311;35099
