mokp
ndim;t;m;n;i;nd;ncomp;time;maxnd
int;int;int;int;int;int;int;float;int
3;3;4;30;8;1481;4169815;1.059;11716
0;3;4;30;9;1216;1589106745;11.304;12598
3;3;4;30;9;1216;1807284;0.887;12598
0;1;3;90;5;4274;3701436042145;183458.523;292988
3;1;2;10;2;3;315;0.000;13
0;1;2;10;5;4;3479;0.000;22
0;1;2;10;4;4;3607;0.000;22
0;1;2;10;6;5;1496;0.000;9
3;1;2;10;6;5;315;0.000;9
3;1;2;30;2;20;48238;0.015;301
0;1;2;30;2;20;2019951;0.015;301
0;3;2;20;1;27;780444;0.006;241
3;3;2;20;4;20;18945;0.005;211
3;1;2;50;3;46;591196;0.174;2102
0;3;2;30;3;72;26198388;0.111;1089
0;3;2;30;0;103;86934624;0.390;2121
0;1;2;50;0;53;170238965;0.839;2258
3;3;2;40;3;120;760667;0.317;3427
3;1;2;70;8;140;3132305;2.180;6397
0;1;2;70;4;76;1221846047;7.536;5176
3;1;2;70;6;120;5290325;9.110;10546
3;3;2;50;3;171;2520266;3.091;8460
0;3;2;50;9;150;1991695319;14.939;9094
0;1;2;90;2;87;6786947354;60.680;11587
0;3;2;50;7;279;5653870784;60.807;13466
3;3;2;60;1;197;5368831;8.927;13690
3;3;2;60;0;254;6609404;24.290;17167
3;3;2;60;2;323;6330457;14.368;14161
0;3;2;60;4;175;4122849284;29.473;10463
3;1;2;110;5;227;23470108;106.380;29976
0;1;3;10;0;10;3841;0.000;23
3;1;3;10;0;10;603;0.000;23
0;1;3;10;1;9;4098;0.000;20
3;1;3;10;1;9;684;0.000;20
0;1;3;10;2;9;9755;0.000;35
3;1;3;10;2;9;1217;0.000;35
0;1;3;10;3;19;12630;0.000;36
3;1;3;10;3;19;1382;0.000;36
0;1;3;10;4;4;3934;0.000;17
3;1;3;10;4;4;659;0.000;17
0;1;3;10;5;11;6371;0.000;26
3;1;3;10;5;11;873;0.000;26
0;1;3;10;6;16;14680;0.000;46
3;1;3;10;6;16;1479;0.000;46
0;1;3;10;7;5;3090;0.000;15
3;1;3;10;7;5;566;0.000;15
0;1;3;10;8;11;10884;0.000;46
3;1;3;10;8;11;1304;0.000;46
0;1;3;10;9;7;9902;0.000;33
3;1;3;10;9;7;1168;0.000;33
0;3;3;10;0;6;23555;0.000;57
3;3;3;10;0;6;2038;0.000;57
0;3;3;10;1;7;4664;0.000;25
3;3;3;10;1;7;731;0.000;25
0;3;3;10;2;28;23228;0.000;59
3;3;3;10;2;28;2057;0.000;59
0;3;3;10;3;27;10534;0.000;38
3;3;3;10;3;27;1143;0.000;38
0;3;3;10;4;10;18251;0.000;55
3;3;3;10;4;10;1635;0.000;55
0;3;3;10;5;15;17975;0.000;50
3;3;3;10;5;15;1687;0.000;50
0;3;3;10;6;37;18916;0.000;54
3;3;3;10;6;37;1605;0.000;54
0;3;3;10;7;20;21040;0.000;53
3;3;3;10;7;20;1894;0.000;53
0;3;3;10;8;31;23019;0.000;57
3;3;3;10;8;31;2026;0.000;57
0;3;3;10;9;29;33994;0.000;80
3;3;3;10;9;29;2461;0.000;80
0;1;3;30;0;75;14252635;0.059;812
0;1;3;30;1;134;87974753;0.444;2100
3;1;3;30;2;119;299449;0.070;1586
3;1;3;30;3;273;543732;0.177;3604
0;1;3;30;4;79;11848704;0.049;1017
3;1;3;30;4;79;117196;0.020;1017
0;1;3;30;5;309;156520865;0.844;2997
3;1;3;30;6;176;451002;0.119;2585
0;1;3;30;7;165;41832939;0.198;2042
0;1;3;30;8;181;153209166;0.833;2945
0;3;3;20;0;175;29615543;0.140;1666
3;3;3;20;1;283;107447;0.021;1197
3;3;3;20;2;336;140337;0.029;1572
3;3;3;20;3;177;80876;0.013;905
3;3;3;20;4;133;69779;0.012;834
3;3;3;20;5;366;194882;0.045;2018
0;3;3;20;6;211;25567367;0.118;1598
0;3;3;20;7;311;60234976;0.326;2769
3;3;3;20;9;102;84356;0.014;938
0;3;2;60;8;184;3499565616;27.399;9543
3;1;3;50;1;542;6068565;8.736;20038
3;1;3;50;2;447;5816787;7.927;19053
0;3;2;60;5;228;8139906386;75.847;15281
3;1;3;50;3;742;7595202;12.126;23729
3;1;3;50;5;558;6441918;7.458;17439
0;1;3;50;7;507;4569493445;38.158;12828
0;1;3;50;4;551;6625251989;62.048;17669
0;3;3;30;2;679;1075439433;7.422;8381
3;3;3;30;6;1324;2989422;2.790;18261
0;1;3;50;1;542;9444822865;107.089;20038
