|ND|: 2043; max|Ck|: 1157195; Execution time: 66.7994s
49749	37574	13498	
49743	37553	13615	
49744	37542	13637	
49763	37534	13739	
49743	37532	13754	
49771	37529	13808	
49708	37487	13877	
49769	37477	13900	
49763	37469	13914	
49766	37458	13928	
49746	37456	13943	
49774	37453	13997	
49723	37429	14004	
49756	37411	14094	
49766	37393	14103	
49772	37391	14556	
49765	37363	14704	
49775	37329	14849	
49755	37327	14864	
49762	37276	14905	
49742	37274	14920	
49742	37243	14938	
49761	37232	14948	
49684	37231	14984	
49764	37228	15024	
49771	37206	15044	
49752	37202	15075	
49743	37184	15079	
49760	37182	15096	
49740	37180	15111	
49761	37170	15204	
49773	37128	15206	
49764	37110	15210	
49743	37108	15225	
49723	37106	15240	
49775	37103	15281	
49765	37073	15321	
49756	37054	15335	
49763	37043	15348	
49758	37029	15410	
49690	36991	15425	
49771	36983	15433	
49731	36971	15448	
49767	36955	15468	
49748	36951	15482	
49769	36946	15505	
49743	36925	15510	
49774	36917	15560	
49760	36898	15586	
49764	36873	15590	
49770	36870	15599	
49746	36858	15617	
49726	36856	15632	
49752	36847	15641	
49732	36845	15656	
49774	36831	15663	
49756	36819	15704	
49755	36782	15717	
49771	36776	15766	
49757	36757	15792	
49739	36742	15819	
49743	36717	15823	
49749	36706	15847	
49760	36684	15851	
49740	36682	15866	
49773	36680	15895	
49766	36660	15897	
49764	36653	15900	
49760	36650	15911	
49740	36648	15926	
49773	36645	15942	
49771	36637	15952	
49772	36621	15957	
49764	36619	15960	
49769	36598	15981	
49765	36594	15997	
49745	36592	16012	
49775	36585	16036	
49775	36549	16071	
49755	36547	16086	
49765	36519	16099	
49757	36509	16117	
49770	36504	16148	
49775	36500	16176	
49746	36459	16180	
49766	36457	16187	
49762	36453	16203	
49742	36445	16205	
49772	36444	16242	
49772	36408	16277	
49753	36395	16282	
49764	36375	16288	
49765	36360	16294	
49743	36359	16297	
49773	36356	16316	
49725	36348	16330	
49681	36345	16331	
49774	36340	16338	
49760	36338	16345	
49773	36322	16369	
49763	36320	16371	
49760	36300	16411	
49770	36290	16413	
49765	36282	16417	
49756	36279	16424	
49757	36273	16430	
49775	36267	16435	
49774	36260	16457	
49770	36256	16473	
49764	36247	16481	
49756	36245	16484	
49775	36225	16492	
49754	36217	16496	
49764	36215	16504	
49766	36209	16512	
49698	36206	16522	
49771	36204	16523	
49723	36196	16526	
49764	36193	16531	
49761	36191	16547	
49753	36189	16550	
49757	36164	16554	
49775	36161	16560	
49769	36160	16565	
49755	36159	16575	
49753	36153	16585	
49733	36151	16600	
49767	36144	16610	
49774	36134	16621	
49760	36115	16647	
49717	36102	16661	
49762	36095	16677	
49742	36087	16679	
49772	36084	16698	
49751	36081	16951	
49766	36036	16977	
49772	36026	17054	
49773	35983	17164	
49767	35910	17185	
49748	35904	17191	
49766	35902	17213	
49766	35894	17223	
49773	35891	17226	
