chub5
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;10;0.25;2;0;22680;22801;168;0.438110
100;10;0.25;2;1;22593;22801;122;0.411542
100;10;0.25;2;2;22801;22801;79;0.533328
100;10;0.25;2;3;22750;22801;229;0.586668
100;10;0.25;2;4;22743;22801;188;0.609213
100;10;0.25;2;5;22657;22801;114;0.402428
100;10;0.25;2;6;22706;22801;147;0.508845
100;10;0.25;2;7;22725;22801;101;0.559770
100;10;0.25;2;8;22680;22801;73;0.551089
100;10;0.25;2;9;22585;22801;90;0.571020
100;10;0.25;3;0;21985;22131;86;0.604105
100;10;0.25;3;1;22040;22131;118;0.608427
100;10;0.25;3;2;22131;22131;26;0.673084
100;10;0.25;3;3;21962;22131;253;0.642442
100;10;0.25;3;4;22131;22131;218;0.607932
100;10;0.25;3;5;21972;22131;51;0.599647
100;10;0.25;3;6;21966;22131;128;0.609014
100;10;0.25;3;7;21988;22131;294;0.611552
100;10;0.25;3;8;22004;22131;159;0.619503
100;10;0.25;3;9;21925;22131;45;0.615335
100;10;0.25;4;0;22667;22772;229;0.668053
100;10;0.25;4;1;22659;22772;165;0.612733
100;10;0.25;4;2;22626;22772;92;0.598031
100;10;0.25;4;3;22668;22772;68;0.601920
100;10;0.25;4;4;22617;22772;166;0.616278
100;10;0.25;4;5;22668;22772;210;0.600944
100;10;0.25;4;6;22616;22772;265;0.634199
100;10;0.25;4;7;22772;22772;210;0.797064
100;10;0.25;4;8;22633;22772;65;0.698373
100;10;0.25;4;9;22633;22772;226;0.820295
100;10;0.25;5;0;22528;22751;74;0.420228
100;10;0.25;5;1;22590;22751;59;0.452770
100;10;0.25;5;2;22590;22751;79;0.309015
100;10;0.25;5;3;22528;22751;110;0.324787
100;10;0.25;5;4;22751;22751;196;0.426355
100;10;0.25;5;5;22512;22751;79;0.294696
100;10;0.25;5;6;22427;22751;29;0.300516
100;10;0.25;5;7;22601;22751;39;0.380001
100;10;0.25;5;8;22601;22751;44;0.344126
100;10;0.25;5;9;22603;22751;86;0.390761
100;10;0.25;6;0;22777;22777;83;0.545776
100;10;0.25;6;1;22716;22777;64;0.664036
100;10;0.25;6;2;22703;22777;137;0.727840
100;10;0.25;6;3;22656;22777;268;0.764938
100;10;0.25;6;4;22631;22777;77;0.796495
100;10;0.25;6;5;22643;22777;116;0.530226
100;10;0.25;6;6;22607;22777;117;0.667210
100;10;0.25;6;7;22531;22777;15;0.347100
100;10;0.25;6;8;22598;22777;26;0.339879
100;10;0.25;6;9;22644;22777;6;0.597345
100;10;0.25;7;0;21704;21875;214;0.726132
100;10;0.25;7;1;21773;21875;89;0.751011
100;10;0.25;7;2;21697;21875;177;0.655390
100;10;0.25;7;3;21812;21875;238;0.600845
100;10;0.25;7;4;21697;21875;178;0.652998
100;10;0.25;7;5;21720;21875;18;0.484468
100;10;0.25;7;6;21841;21875;143;0.682155
100;10;0.25;7;7;21739;21875;31;0.534547
100;10;0.25;7;8;21676;21875;228;0.762677
100;10;0.25;7;9;21624;21875;42;0.432192
100;10;0.25;8;0;22392;22635;13;0.889643
100;10;0.25;8;1;22472;22635;77;0.858241
100;10;0.25;8;2;22542;22635;222;0.747786
100;10;0.25;8;3;22494;22635;26;0.746880
100;10;0.25;8;4;22460;22635;54;0.747486
100;10;0.25;8;5;22517;22635;116;0.650921
100;10;0.25;8;6;22494;22635;123;0.636433
100;10;0.25;8;7;22441;22635;90;0.647233
100;10;0.25;8;8;22422;22635;81;0.638732
100;10;0.25;8;9;22455;22635;126;0.727404
100;10;0.25;9;0;22389;22511;121;0.822161
100;10;0.25;9;1;22273;22511;164;0.844600
100;10;0.25;9;2;22229;22511;91;0.768425
100;10;0.25;9;3;22278;22511;110;0.746941
100;10;0.25;9;4;22237;22511;182;0.834472
100;10;0.25;9;5;22370;22511;250;0.888557
100;10;0.25;9;6;22301;22511;83;0.880435
100;10;0.25;9;7;22314;22511;231;0.880389
100;10;0.25;9;8;22347;22511;70;0.721602
100;10;0.25;9;9;22272;22511;246;0.753261
100;10;0.25;10;0;22702;22702;112;0.500618
100;10;0.25;10;1;22483;22702;36;0.453697
100;10;0.25;10;2;22702;22702;113;0.560650
100;10;0.25;10;3;22551;22702;40;0.552285
