21;2449
22;735
23;975
24;1078
21;1231
22;622
23;1251
24;1622
21;793
22;1088
23;995
24;1343
21;2123
22;690
23;1072
24;1166
21;625
22;1016
23;1420
24;3231
21;644
22;584
23;1725
24;1069
21;608
22;626
23;399
24;2174
21;1174
22;1177
23;797
24;1045
21;481
22;771
23;1578
24;2094
21;505
22;1209
23;1076
24;723
21;516
22;1055
23;1161
24;636
21;950
22;450
23;523
24;976
21;724
22;953
23;684
24;731
21;627
22;648
23;1641
24;1878
21;630
22;556
23;577
24;747
21;604
22;449
23;861
24;720
21;396
22;859
23;1021
24;1405
21;496
22;969
23;749
24;1162
21;460
22;1371
23;722
24;1849
21;412
22;348
23;1026
24;1180
21;875
22;1233
23;892
24;865
21;1567
22;1387
23;999
24;1025
21;501
22;1827
23;565
24;539
21;474
22;596
23;875
24;1988
21;700
22;871
23;1140
24;1163
21;816
22;1331
23;1060
24;1785
21;520
22;590
23;1798
24;615
21;921
22;868
23;682
24;1735
21;852
22;586
23;932
24;687
21;543
22;757
23;1057
24;2694
21;486
22;516
23;1170
24;1536
21;796
22;713
23;720
24;915
21;461
22;977
23;1799
24;846
21;1207
22;947
23;660
24;1361
21;576
22;933
23;658
24;2692
21;1056
22;994
23;1207
24;1381
21;718
22;864
23;493
24;877
21;1200
22;780
23;628
24;1940
21;558
22;497
23;987
24;822
21;876
22;766
23;2628
24;1471
21;585
22;711
23;660
24;1271
21;1268
22;853
23;477
24;1090
21;709
22;667
23;904
24;1541
21;636
22;695
23;1011
24;914
21;740
22;622
23;1741
24;972
21;748
22;483
23;440
24;1229
21;1300
22;935
23;1147
24;1207
21;941
22;945
23;1252
24;654
21;641
22;1023
23;1119
24;1227
21;529
22;768
23;805
24;732
21;700
22;1324
23;530
24;909
21;241
22;584
23;727
24;973
21;1186
22;442
23;773
24;1509
21;1131
22;681
23;782
24;2047
21;439
22;919
23;764
24;2467
21;449
22;639
23;1081
24;597
21;1155
22;876
23;1278
24;966
21;650
22;871
23;1233
24;967
21;1031
22;2039
23;1283
24;1466
21;411
22;696
23;925
24;1807
21;2067
22;810
23;825
24;1338
21;1721
22;606
23;1434
24;1392
21;832
22;998
23;1022
24;702
21;1101
22;858
23;897
24;437
21;479
22;811
23;1189
24;994
21;598
22;764
23;1808
24;871
21;1445
22;613
23;668
24;1073
21;263
22;421
23;581
24;1724
21;797
22;697
23;2625
24;1421
21;722
22;1078
23;957
24;493
21;479
22;582
23;991
24;2279
21;826
22;593
23;688
24;930
21;588
22;1110
23;293
24;1312
21;1119
22;925
23;642
24;833
21;735
22;997
23;958
24;878
21;487
22;484
23;885
24;1660
21;909
22;816
23;1004
24;2179
21;645
22;367
23;758
24;882
21;667
22;1104
23;636
24;843
21;543
22;1020
23;677
24;902
21;1036
22;1083
23;1211
24;859
21;499
22;655
23;634
24;1920
21;1024
22;692
23;951
24;1804
21;1242
22;507
23;514
24;761
21;654
22;1023
23;821
24;1653
21;343
22;739
23;801
24;606
21;1178
22;1324
23;1178
24;612
21;687
22;783
23;757
24;643
21;405
22;639
23;892
24;612
21;840
22;533
23;703
24;1375
21;933
22;974
23;750
24;1398
21;573
22;896
23;1052
24;910
21;1135
22;533
23;1044
24;1577
21;455
22;949
23;620
24;889
21;671
22;962
23;844
24;2518
21;969
22;1599
23;2214
24;370
21;681
22;563
23;871
24;1292
21;802
22;616
23;737
24;1135
21;760
22;2311
23;480
24;789
21;616
22;803
23;1133
24;1436
5;8
6;29
7;30
8;37
9;74
10;63
11;279
12;101
13;183
14;293
15;332
16;180
17;374
18;393
19;305
20;884
5;13
6;22
7;39
8;46
9;56
10;90
11;162
12;88
13;239
14;288
15;303
16;585
17;461
18;682
19;313
20;605
5;17
6;18
7;24
8;66
9;32
10;123
11;163
12;115
13;477
14;201
15;232
16;260
17;605
18;561
19;676
20;861
5;9
6;24
7;25
8;33
9;44
10;153
11;175
12;174
13;138
14;235
15;206
16;292
17;257
18;708
19;564
20;290
5;12
6;24
7;43
8;62
9;64
10;84
11;157
12;83
13;168
14;406
15;185
16;287
17;201
18;561
19;463
20;750
5;20
6;32
7;32
8;35
9;52
10;89
11;107
12;110
13;177
14;177
15;132
16;132
17;497
18;382
19;631
20;432
5;9
6;10
7;56
8;43
9;50
10;44
11;92
12;109
13;301
14;144
15;137
16;260
17;465
18;646
19;481
20;226
5;17
6;12
7;52
8;108
9;44
10;95
11;173
12;152
13;144
14;306
15;417
16;335
17;341
18;370
19;281
20;535
5;15
6;15
7;48
8;55
9;57
10;138
11;131
12;101
13;319
14;371
15;227
16;582
17;510
18;312
19;408
20;379
5;23
6;51
7;56
8;53
9;42
10;86
11;90
12;272
13;158
14;721
15;179
16;161
17;236
18;362
19;594
20;1127
5;16
6;22
7;21
8;79
9;42
10;124
11;188
12;438
13;132
14;240
15;353
16;243
17;135
18;267
19;661
20;1570
5;19
6;17
7;14
8;66
9;55
10;36
11;115
12;76
13;151
14;139
15;226
16;192
17;710
18;402
19;269
20;594
5;17
6;20
7;55
8;95
9;71
10;92
11;117
12;91
13;198
14;581
15;192
16;468
17;391
18;320
19;675
20;885
5;20
6;27
7;26
8;55
9;53
10;107
11;108
12;144
13;254
14;250
15;369
16;319
17;725
18;494
19;703
20;740
5;16
6;32
7;25
8;43
9;140
10;31
11;134
12;146
13;199
14;112
15;343
16;384
17;239
18;205
19;273
20;802
5;14
6;32
7;33
8;33
9;66
10;97
11;132
12;176
13;134
14;209
15;209
16;294
17;171
18;347
19;1227
20;1022
5;19
6;15
7;26
8;63
9;79
10;110
11;110
12;130
13;156
14;275
15;131
16;455
17;258
18;612
19;667
20;1475
5;18
6;23
7;58
8;33
9;64
10;118
11;96
12;73
13;239
14;279
15;177
16;199
17;301
18;340
19;450
20;423
5;12
6;21
7;27
8;69
9;55
10;85
11;54
12;103
13;132
14;139
15;305
16;564
17;245
18;295
19;388
20;556
5;13
6;18
7;44
8;36
9;38
10;97
11;91
12;205
13;91
14;348
15;302
16;226
17;344
18;394
19;371
20;431
5;11
6;19
7;28
8;71
9;60
10;91
11;67
12;122
13;274
14;165
15;186
16;247
17;145
18;380
19;555
20;691
5;21
6;22
7;50
8;37
9;69
10;118
11;42
12;86
13;213
14;210
15;127
16;343
17;383
18;373
19;730
20;1033
5;20
6;29
7;41
8;106
9;50
10;56
11;134
12;57
13;214
14;139
15;347
16;289
17;470
18;340
19;440
20;670
5;17
6;23
7;71
8;54
9;66
10;67
11;41
12;86
13;175
14;128
15;276
16;224
17;225
18;434
19;637
20;599
5;14
6;17
7;40
8;70
9;75
10;61
11;212
12;228
13;300
14;310
15;414
16;451
17;330
18;459
19;239
20;461
5;23
6;20
7;36
8;70
9;56
10;133
11;59
12;126
13;297
14;216
15;504
16;244
17;294
18;490
19;279
20;750
5;15
6;13
7;27
8;47
9;63
10;108
11;163
12;144
13;153
14;352
15;460
16;500
17;308
18;505
19;378
20;618
5;18
6;29
7;43
8;45
9;76
10;64
11;207
12;118
13;83
14;413
15;153
16;325
17;366
18;322
19;647
20;780
5;20
6;32
7;34
8;53
9;57
10;111
11;106
12;49
13;150
14;165
15;600
16;243
17;188
18;476
19;517
20;533
5;15
6;21
7;29
8;95
9;113
10;86
11;123
12;110
13;244
14;232
15;213
16;434
17;590
18;291
19;625
20;603
5;12
6;23
7;85
8;102
9;230
10;68
11;119
12;185
13;146
14;177
15;211
16;515
17;414
18;289
19;521
20;629
5;9
6;18
7;61
8;81
9;57
10;117
11;49
12;118
13;117
14;178
15;271
16;285
17;466
18;420
19;597
20;591
5;11
6;22
7;45
8;54
9;72
10;62
11;97
12;192
13;102
14;190
15;500
16;300
17;322
18;273
19;649
20;743
5;16
6;26
7;51
8;90
9;65
10;71
11;82
12;104
13;316
14;188
15;158
16;260
17;288
18;445
19;508
20;750
5;31
6;16
7;32
8;35
9;62
10;87
11;83
12;165
13;179
14;465
15;338
16;332
17;537
18;322
19;194
20;1591
5;8
6;33
7;21
8;62
9;95
10;90
11;163
12;304
13;198
14;221
15;146
16;277
17;427
18;449
19;636
20;318
5;17
6;30
7;28
8;48
9;55
10;88
11;119
12;140
13;188
14;298
15;337
16;377
17;232
18;448
19;743
20;505
5;15
6;23
7;34
8;73
9;83
10;149
11;98
12;120
13;200
14;554
15;206
16;381
17;364
18;419
19;637
20;832
5;25
6;22
7;46
8;40
9;72
10;93
11;107
12;138
13;244
14;253
15;347
16;350
17;297
18;373
19;657
20;411
5;15
6;31
7;67
8;64
9;44
10;72
11;126
12;88
13;136
14;152
15;180
16;506
17;359
18;578
19;412
20;789
5;17
6;27
7;77
8;57
9;46
10;82
11;116
12;130
13;139
14;320
15;321
16;498
17;399
18;331
19;346
20;426
5;19
6;26
7;51
8;45
9;57
10;69
11;180
12;144
13;120
14;209
15;455
16;315
17;235
18;504
19;391
20;459
5;9
6;28
7;34
8;47
9;99
10;50
11;139
12;200
13;121
14;132
15;144
16;330
17;657
18;460
19;368
20;470
5;13
6;26
7;45
8;35
9;49
10;88
11;86
12;80
13;105
14;227
15;270
16;128
17;369
18;398
19;714
20;361
5;15
6;18
7;30
8;47
9;144
10;167
11;53
12;102
13;162
14;186
15;176
16;227
17;287
18;716
