n;m;nsets
int;int;int
7;2;47
8;2;27
9;2;103
10;2;90
11;2;203
12;2;168
13;2;150
14;2;102
15;2;531
16;2;242
17;2;350
18;2;324
19;2;1642
20;2;857
22;2;619
24;2;890
26;2;739
28;2;1262
30;2;4039
35;2;3499
40;2;4345
5;2;8
6;2;21
7;2;38
8;2;51
9;2;72
10;2;69
11;2;149
12;2;145
13;2;109
14;2;205
15;2;200
16;2;464
17;2;440
18;2;794
19;2;594
20;2;893
22;2;1029
24;2;922
26;2;1469
28;2;1556
30;2;3251
35;2;3538
40;2;10584
5;2;16
6;2;43
7;2;57
8;2;62
9;2;67
10;2;154
11;2;129
12;2;318
13;2;248
14;2;261
15;2;313
16;2;328
17;2;332
18;2;279
19;2;320
20;2;331
22;2;942
24;2;704
26;2;1789
28;2;3209
30;2;2667
35;2;4364
40;2;4838
5;2;12
6;2;24
7;2;35
8;2;64
9;2;60
10;2;68
11;2;98
12;2;93
13;2;186
14;2;188
15;2;490
16;2;304
17;2;325
18;2;558
19;2;357
20;2;472
22;2;1929
24;2;852
26;2;1803
28;2;1890
30;2;1454
35;2;5068
40;2;4717
5;2;8
6;2;34
7;2;37
8;2;32
9;2;42
10;2;53
11;2;206
12;2;144
13;2;234
14;2;220
15;2;137
16;2;235
17;2;635
18;2;403
19;2;245
20;2;583
22;2;1040
24;2;1175
26;2;751
28;2;2172
30;2;4144
35;2;5109
40;2;5727
5;2;15
6;2;17
7;2;37
8;2;46
9;2;81
10;2;152
11;2;72
12;2;188
13;2;208
14;2;139
15;2;343
16;2;280
17;2;665
18;2;697
19;2;694
20;2;409
22;2;432
24;2;1112
26;2;2531
28;2;3765
30;2;2534
35;2;4110
40;2;5865
5;2;10
6;2;15
7;2;23
8;2;28
9;2;45
10;2;153
11;2;101
12;2;108
13;2;161
14;2;309
15;2;439
16;2;535
17;2;216
18;2;341
19;2;695
20;2;431
22;2;758
24;2;760
26;2;2315
28;2;1061
30;2;1874
35;2;4118
40;2;6227
5;2;13
6;2;18
7;2;24
8;2;29
9;2;60
10;2;80
11;2;168
12;2;182
13;2;274
14;2;146
15;2;250
16;2;187
17;2;452
18;2;314
19;2;288
20;2;928
22;2;700
24;2;1133
26;2;1605
28;2;1376
30;2;2247
35;2;2720
40;2;5824
5;2;16
6;2;32
7;2;29
8;2;44
9;2;64
10;2;121
11;2;221
12;2;179
13;2;132
14;2;329
15;2;271
16;2;404
17;2;198
18;2;209
19;2;635
20;2;775
22;2;798
24;2;2587
26;2;904
28;2;2026
30;2;3356
35;2;2264
40;2;5330
5;2;15
6;2;16
7;2;20
8;2;26
9;2;36
10;2;209
11;2;130
12;2;188
13;2;159
14;2;180
15;2;155
16;2;431
17;2;465
18;2;434
19;2;686
20;2;496
22;2;1370
24;2;1024
26;2;1881
28;2;2272
30;2;1480
35;2;4366
40;2;5752
5;2;19
6;2;20
7;2;29
8;2;35
9;2;104
10;2;153
11;2;141
12;2;123
13;2;258
14;2;217
15;2;223
16;2;272
17;2;350
18;2;181
19;2;303
20;2;603
22;2;374
24;2;1316
26;2;1193
28;2;1160
30;2;1404
35;2;2780
40;2;5797
5;2;12
6;2;25
7;2;24
8;2;52
9;2;94
10;2;94
11;2;169
12;2;147
13;2;145
14;2;171
15;2;311
16;2;189
17;2;383
18;2;283
19;2;419
20;2;730
22;2;926
24;2;1036
26;2;2490
28;2;1461
30;2;3384
35;2;4111
40;2;4200
