n;m;nsets
int;int;int
10;5;227
11;5;366
12;5;445
13;5;1051
14;5;1734
15;5;3264
16;5;964
17;5;4836
18;5;2211
19;5;4583
20;5;8101
22;5;16950
24;5;20732
26;5;28277
28;5;42262
30;5;16889
5;5;26
6;5;34
7;5;55
8;5;206
9;5;256
10;5;159
11;5;153
12;5;368
13;5;586
14;5;699
15;5;1201
16;5;3219
17;5;1815
18;5;823
19;5;3052
20;5;13445
22;5;30831
24;5;34890
26;5;28628
28;5;39244
30;5;64395
5;5;27
6;5;54
7;5;71
8;5;130
9;5;161
10;5;166
11;5;440
12;5;1012
13;5;546
14;5;1257
15;5;2191
16;5;1442
17;5;886
18;5;2341
19;5;5217
20;5;8311
22;5;5118
24;5;25878
26;5;29828
28;5;40057
30;5;197918
5;5;21
6;5;38
7;5;65
8;5;139
9;5;262
10;5;205
11;5;489
12;5;1394
13;5;629
14;5;814
15;5;919
16;5;1689
17;5;3021
18;5;6215
19;5;2180
20;5;1710
22;5;7038
24;5;36636
26;5;27467
28;5;122207
30;5;70035
5;5;30
6;5;31
7;5;47
8;5;207
9;5;109
10;5;139
11;5;384
12;5;774
13;5;1002
14;5;371
15;5;1536
16;5;1178
17;5;1357
18;5;7455
19;5;9445
20;5;6867
22;5;19902
24;5;14472
26;5;14482
28;5;16411
30;5;51773
5;5;27
6;5;48
7;5;41
8;5;145
9;5;149
10;5;254
11;5;306
12;5;350
13;5;1593
14;5;1644
15;5;1277
16;5;2085
17;5;1226
18;5;1757
19;5;3973
20;5;8576
22;5;3972
24;5;10558
26;5;21944
28;5;25200
30;5;31854
5;5;20
6;5;63
7;5;77
8;5;99
9;5;158
10;5;361
11;5;169
12;5;624
13;5;858
14;5;752
15;5;1982
16;5;1521
17;5;2639
18;5;4777
19;5;4939
20;5;6658
22;5;11977
24;5;5707
26;5;25148
28;5;45279
30;5;147165
5;5;28
6;5;30
7;5;46
8;5;135
9;5;152
10;5;377
11;5;1052
12;5;843
13;5;906
14;5;953
15;5;1669
16;5;2262
17;5;6736
18;5;4070
19;5;6198
20;5;4606
22;5;17274
24;5;10482
26;5;28398
28;5;42832
30;5;30431
5;5;26
6;5;63
7;5;95
8;5;86
9;5;174
10;5;143
11;5;394
12;5;471
13;5;558
14;5;1445
15;5;1044
16;5;806
17;5;2112
18;5;22070
19;5;8766
20;5;6434
22;5;30540
24;5;8245
26;5;10879
28;5;67844
30;5;80389
5;5;24
6;5;32
7;5;115
8;5;121
9;5;139
10;5;196
11;5;622
12;5;896
13;5;381
14;5;1267
15;5;3900
16;5;2001
17;5;3498
18;5;2054
19;5;8055
20;5;8026
22;5;5760
24;5;6876
26;5;39836
28;5;24120
30;5;35385
5;5;24
6;5;32
7;5;39
8;5;109
9;5;188
10;5;290
11;5;388
12;5;343
13;5;1310
14;5;629
15;5;2615
16;5;939
17;5;3261
18;5;3579
19;5;9332
20;5;14602
22;5;7508
24;5;10233
26;5;33644
28;5;99202
30;5;54809
5;5;25
6;5;49
7;5;54
8;5;104
9;5;184
10;5;580
11;5;848
12;5;726
13;5;564
14;5;1071
15;5;2222
16;5;3166
17;5;810
18;5;5342
19;5;11486
20;5;9120
22;5;6015
24;5;23630
26;5;18434
28;5;19441
30;5;63879
5;5;23
6;5;41
7;5;87
8;5;154
9;5;122
10;5;422
11;5;498
12;5;390
13;5;1230
14;5;838
15;5;2578
16;5;897
17;5;1329
18;5;1302
19;5;5693
20;5;3860
22;5;6434
24;5;30418
26;5;21675
28;5;89025
30;5;92646
5;5;25
6;5;44
7;5;88
8;5;132
9;5;174
10;5;672
11;5;227
12;5;369
13;5;762
14;5;1502
15;5;740
16;5;1300
17;5;2208
18;5;2420
19;5;2609
20;5;6221
22;5;10628
24;5;13676
26;5;18794
28;5;54470
30;5;74755
5;5;19
6;5;47
7;5;34
8;5;99
9;5;81
10;5;189
11;5;358
12;5;1239
13;5;1477
14;5;1321
15;5;2670
16;5;1243
17;5;1044
18;5;10947
19;5;6808
20;5;7064
22;5;7066
24;5;25555
26;5;39844
28;5;118364
30;5;42308
5;5;25
6;5;37
7;5;47
8;5;132
9;5;172
10;5;390
11;5;238
12;5;518
13;5;2766
14;5;1163
15;5;2250
16;5;872
17;5;3846
18;5;5105
19;5;8119
20;5;15471
22;5;7600
24;5;25968
26;5;28965
28;5;15959
30;5;80804
5;5;30
6;5;34
7;5;82
8;5;66
9;5;104
10;5;222
11;5;149
12;5;534
13;5;652
14;5;1211
15;5;3799
16;5;1366
17;5;4339
18;5;5359
19;5;2727
20;5;2635
22;5;10466
24;5;9841
26;5;27889
28;5;51396
30;5;68360
5;5;17
6;5;63
7;5;43
8;5;85
9;5;188
10;5;464
11;5;335
12;5;295
13;5;598
14;5;1313
15;5;1160
16;5;3377
17;5;1334
18;5;5783
19;5;2783
20;5;6356
22;5;6489
24;5;20525
26;5;40812
28;5;14212
30;5;64508
5;5;23
6;5;43
7;5;106
8;5;223
9;5;136
10;5;244
11;5;262
12;5;631
13;5;783
14;5;1051
15;5;771
16;5;1562
17;5;1797
18;5;2480
19;5;3277
20;5;6117
22;5;20305
24;5;12523
26;5;7112
28;5;43973
30;5;55178
5;10;31
6;10;57
7;10;111
8;10;150
9;10;279
10;10;497
11;10;367
12;10;2609
13;10;4851
14;10;2116
15;10;1986
16;10;4509
17;10;4504
18;10;11215
19;10;25112
20;10;9548
22;10;132070
24;10;177018
26;10;480686
28;10;129998
5;2;20
6;2;25
7;2;85
8;2;51
9;2;102
10;2;58
11;2;135
12;2;118
13;2;179
14;2;73
15;2;203
16;2;618
17;2;284
18;2;605
19;2;260
20;2;321
22;2;800
24;2;1029
26;2;2187
28;2;1922
30;2;2245
35;2;8270
40;2;6939
5;2;10
6;2;19
7;2;27
8;2;45
9;2;114
10;2;111
11;2;114
12;2;115
13;2;161
14;2;479
15;2;242
16;2;301
17;2;256
18;2;374
19;2;582
20;2;611
22;2;1369
24;2;1252
26;2;1451
28;2;1717
30;2;1654
35;2;5622
40;2;4292
5;2;14
6;2;13
7;2;19
8;2;67
9;2;46
10;2;77
11;2;149
12;2;45
13;2;131
14;2;279
15;2;194
16;2;444
17;2;614
18;2;448
19;2;644
20;2;474
22;2;640
24;2;1128
26;2;1278
28;2;1340
30;2;1846
35;2;3142
40;2;3742
5;2;18
6;2;16
7;2;35
8;2;25
9;2;48
10;2;62
11;2;88
12;2;318
13;2;126
14;2;156
15;2;329
16;2;398
17;2;424
18;2;272
19;2;361
20;2;273
22;2;618
24;2;401
26;2;587
28;2;1312
30;2;1452
35;2;5030
40;2;2189
5;2;18
6;2;23
7;2;43
8;2;45
9;2;41
10;2;44
11;2;143
12;2;144
13;2;98
14;2;298
15;2;380
16;2;219
17;2;243
18;2;305
19;2;471
20;2;857
22;2;801
24;2;2181
26;2;2048
28;2;1046
30;2;1269
35;2;4450
40;2;5443
5;2;29
6;2;16
7;2;59
8;2;47
9;2;115
10;2;51
11;2;97
12;2;83
13;2;124
14;2;117
15;2;339
16;2;272
17;2;197
18;2;418
19;2;371
20;2;737
22;2;783
24;2;1421
26;2;1178
28;2;1165
30;2;3488
35;2;2227
40;2;7237
5;2;11
6;2;16
7;2;39
8;2;40
9;2;74
10;2;64
11;2;97
12;2;208
13;2;230
14;2;448
15;2;528
16;2;466
17;2;463
18;2;262
19;2;556
20;2;903
22;2;551
24;2;1347
26;2;910
28;2;1094
30;2;3264
35;2;9183
40;2;5500
5;2;13
6;2;17
7;2;28
8;2;51
9;2;83
10;2;65
11;2;53
12;2;129
13;2;284
14;2;360
15;2;303
16;2;251
17;2;258
18;2;322
19;2;576
20;2;627
22;2;1458
24;2;608
26;2;851
28;2;779
30;2;1270
35;2;3844
40;2;5274
5;2;17
6;2;18
7;2;37
8;2;51
9;2;63
10;2;76
11;2;221
12;2;132
13;2;132
14;2;265
15;2;422
16;2;300
17;2;318
18;2;485
19;2;1159
20;2;709
22;2;1021
24;2;1971
26;2;2141
28;2;1688
30;2;905
35;2;2540
40;2;11815
5;2;13
6;2;23
7;2;59
8;2;46
9;2;50
10;2;83
11;2;104
12;2;169
13;2;264
14;2;629
15;2;331
16;2;318
17;2;227
18;2;437
19;2;691
20;2;1038
22;2;428
24;2;1818
26;2;1162
28;2;2690
30;2;2243
35;2;3622
40;2;6115
5;2;13
6;2;15
7;2;20
8;2;26
9;2;76
10;2;69
11;2;135
12;2;165
13;2;214
14;2;189
15;2;776
16;2;275
17;2;546
18;2;384
19;2;1682
20;2;792
22;2;1111
24;2;1442
26;2;2340
28;2;1139
30;2;1662
35;2;2449
40;2;4438
5;2;14
6;2;11
7;2;31
8;2;34
9;2;54
10;2;68
11;2;242
12;2;68
13;2;134
14;2;297
15;2;134
16;2;543
17;2;958
18;2;973
19;2;703
20;2;517
22;2;908
24;2;758
26;2;576
28;2;904
30;2;2123
35;2;3127
40;2;9550
5;2;24
6;2;17
7;2;27
8;2;64
9;2;61
10;2;57
11;2;288
12;2;202
13;2;150
14;2;204
15;2;146
16;2;268
17;2;390
18;2;296
19;2;357
20;2;518
22;2;555
24;2;2043
26;2;1675
28;2;1746
30;2;1835
35;2;7395
40;2;5247
5;2;29
6;2;29
7;2;18
8;2;59
9;2;29
10;2;90
11;2;98
12;2;223
13;2;325
14;2;308
15;2;355
16;2;255
17;2;294
18;2;500
19;2;452
20;2;454
22;2;1507
24;2;734
26;2;2281
28;2;1185
30;2;1403
35;2;3181
40;2;4680
5;2;17
6;2;43
7;2;40
8;2;22
9;2;83
10;2;50
11;2;78
12;2;185
13;2;217
14;2;118
15;2;270
16;2;390
17;2;284
18;2;527
19;2;534
20;2;518
22;2;1036
24;2;1318
26;2;858
28;2;1331
30;2;3040
35;2;3085
40;2;4577
5;2;12
6;2;19
7;2;17
8;2;46
9;2;60
10;2;43
11;2;70
12;2;215
13;2;137
14;2;296
15;2;184
16;2;445
17;2;334
18;2;341
19;2;646
20;2;978
22;2;671
24;2;606
26;2;2031
28;2;1172
30;2;2398
35;2;3130
40;2;5202
5;2;9
6;2;19
7;2;42
8;2;56
9;2;80
10;2;136
11;2;141
12;2;217
13;2;85
14;2;268
15;2;245
16;2;354
17;2;623
18;2;490
19;2;701
20;2;604
22;2;940
24;2;2049
26;2;2282
28;2;2255
30;2;1834
35;2;6315
40;2;6752
5;2;11
6;2;17
7;2;34
8;2;38
9;2;81
10;2;49
11;2;149
12;2;188
13;2;142
14;2;355
15;2;415
16;2;225
17;2;471
18;2;332
19;2;856
20;2;701
22;2;787
24;2;1490
26;2;1654
28;2;1099
30;2;1899
35;2;3875
40;2;4595
5;2;30
6;2;24
7;2;30
8;2;37
9;2;45
10;2;44
11;2;102
12;2;122
13;2;149
14;2;159
15;2;243
16;2;493
17;2;382
18;2;897
19;2;641
20;2;329
22;2;803
24;2;789
26;2;4200
28;2;1617
30;2;2624
35;2;1906
40;2;4907
5;2;15
6;2;14
7;2;22
8;2;54
9;2;53
10;2;101
11;2;302
12;2;127
13;2;74
14;2;277
15;2;263
16;2;417
17;2;300
18;2;304
19;2;542
20;2;906
22;2;745
24;2;815
26;2;1628
28;2;2664
30;2;3145
35;2;4650
40;2;3173
5;2;13
6;2;18
7;2;17
8;2;31
9;2;65
10;2;62
11;2;76
12;2;363
13;2;103
14;2;231
15;2;169
16;2;327
17;2;473
18;2;295
19;2;372
20;2;790
22;2;442
24;2;1609
26;2;2056
28;2;1540
30;2;1578
35;2;3218
40;2;6691
5;2;17
6;2;18
7;2;26
8;2;61
9;2;59
10;2;56
11;2;128
12;2;98
13;2;144
14;2;295
15;2;299
16;2;208
17;2;425
18;2;796
19;2;579
20;2;626
22;2;1027
24;2;2421
26;2;1317
28;2;3678
30;2;1572
35;2;3166
40;2;4901
5;2;20
6;2;27
7;2;39
8;2;33
9;2;48
10;2;126
11;2;117
12;2;101
13;2;158
14;2;252
15;2;262
16;2;260
17;2;372
18;2;428
19;2;465
20;2;469
22;2;632
24;2;1368
26;2;906
28;2;2136
30;2;2035
35;2;2484
40;2;4688
5;2;13
6;2;25
7;2;21
8;2;49
9;2;36
10;2;152
11;2;70
12;2;158
13;2;83
14;2;117
15;2;197
16;2;164
17;2;392
18;2;399
19;2;295
20;2;777
22;2;785
24;2;1366
26;2;1835
28;2;1534
30;2;1488
35;2;5559
40;2;7611
5;2;21
6;2;14
7;2;52
8;2;48
9;2;83
10;2;79
11;2;84
12;2;103
13;2;186
14;2;142
15;2;201
16;2;153
17;2;418
18;2;309
19;2;761
20;2;476
22;2;595
24;2;1398
26;2;1612
28;2;1956
30;2;1552
35;2;4111
40;2;5760
5;2;17
6;2;19
7;2;32
8;2;67
9;2;32
10;2;78
11;2;166
12;2;89
13;2;241
14;2;307
15;2;309
16;2;275
17;2;661
18;2;353
19;2;396
20;2;713
22;2;1193
24;2;769
26;2;1308
28;2;2007
30;2;4908
35;2;5955
40;2;2637
5;2;13
6;2;20
7;2;31
8;2;57
9;2;95
10;2;77
11;2;249
12;2;264
13;2;128
14;2;558
15;2;262
16;2;379
17;2;406
18;2;564
19;2;316
20;2;745
22;2;788
24;2;1789
26;2;923
28;2;1474
30;2;1612
35;2;4658
40;2;5257
5;2;20
6;2;35
7;2;30
8;2;29
9;2;129
10;2;134
11;2;71
12;2;94
13;2;154
14;2;404
15;2;520
16;2;156
17;2;410
18;2;372
19;2;613
20;2;742
22;2;584
24;2;1528
26;2;2147
28;2;2518
30;2;4453
35;2;4549
40;2;6049
5;2;15
6;2;32
7;2;63
8;2;25
9;2;43
10;2;58
11;2;57
12;2;273
13;2;198
14;2;336
15;2;263
16;2;219
17;2;223
18;2;190
19;2;732
20;2;445
22;2;1063
24;2;1396
26;2;1097
28;2;1308
30;2;2396
35;2;3581
40;2;15202
5;2;14
6;2;20
7;2;26
8;2;98
9;2;51
10;2;114
11;2;52
12;2;150
13;2;147
14;2;249
15;2;446
16;2;253
17;2;571
18;2;272
19;2;613
20;2;428
22;2;641
24;2;450
26;2;1316
28;2;1138
30;2;1395
35;2;3681
40;2;8501
5;2;11
6;2;14
7;2;45
8;2;38
9;2;68
10;2;61
11;2;112
12;2;188
13;2;159
14;2;172
15;2;349
16;2;417
17;2;449
18;2;428
19;2;375
20;2;250
22;2;985
24;2;2903
26;2;2084
28;2;2556
30;2;2342
35;2;4451
40;2;6640
5;2;18
6;2;40
7;2;39
8;2;43
9;2;79
10;2;85
11;2;91
12;2;129
13;2;321
14;2;183
15;2;435
16;2;357
17;2;414
18;2;518
19;2;647
20;2;488
22;2;1097
24;2;1680
26;2;695
28;2;1814
30;2;2371
35;2;4675
40;2;4879
5;2;21
6;2;32
7;2;73
8;2;45
9;2;34
10;2;118
11;2;77
12;2;91
13;2;153
14;2;205
15;2;205
16;2;202
17;2;586
18;2;641
19;2;727
20;2;464
22;2;551
24;2;560
26;2;1384
28;2;957
30;2;1223
35;2;2145
40;2;12047
5;2;19
6;2;25
7;2;24
8;2;33
9;2;96
10;2;79
11;2;154
12;2;124
13;2;122
14;2;449
15;2;180
16;2;567
17;2;531
18;2;287
19;2;678
20;2;744
22;2;398
24;2;1384
26;2;1960
28;2;2162
30;2;1778
35;2;2617
40;2;3965
5;2;10
6;2;52
7;2;40
8;2;46
9;2;52
10;2;39
11;2;109
12;2;102
13;2;179
14;2;210
15;2;349
16;2;396
17;2;901
18;2;234
19;2;388
20;2;575
22;2;819
24;2;690
26;2;1549
28;2;1539
30;2;1852
35;2;5932
40;2;6664
5;2;9
6;2;30
7;2;52
8;2;59
9;2;49
10;2;113
11;2;72
12;2;102
13;2;218
14;2;107
15;2;475
16;2;297
17;2;394
18;2;595
19;2;506
20;2;820
22;2;998
24;2;1409
26;2;889
28;2;1684
30;2;4442
35;2;2418
40;2;4693
5;2;27
6;2;20
7;2;52
8;2;56
9;2;102
10;2;143
11;2;52
12;2;200
13;2;168
14;2;170
15;2;129
16;2;386
17;2;344
18;2;1279
19;2;455
20;2;353
22;2;807
24;2;924
26;2;873
28;2;3652
30;2;5437
35;2;5949
40;2;4764
5;2;13
6;2;16
7;2;35
8;2;67
9;2;79
10;2;80
11;2;71
12;2;146
13;2;103
14;2;249
15;2;183
16;2;345
17;2;251
18;2;755
19;2;635
20;2;689
22;2;690
24;2;1344
26;2;1582
28;2;2235
30;2;1196
35;2;3115
40;2;9623
5;2;27
6;2;26
7;2;39
8;2;41
9;2;150
10;2;42
11;2;107
12;2;101
13;2;126
14;2;180
15;2;154
16;2;488
17;2;421
18;2;500
19;2;400
20;2;858
22;2;1140
24;2;522
26;2;638
28;2;1475
30;2;1545
35;2;3826
40;2;7807
5;2;13
6;2;31
7;2;24
8;2;27
9;2;42
10;2;84
11;2;92
12;2;117
13;2;279
14;2;193
15;2;186
16;2;257
17;2;330
18;2;542
19;2;429
20;2;496
22;2;354
24;2;634
26;2;981
28;2;2721
30;2;2174
35;2;3681
40;2;6429
5;2;15
6;2;21
7;2;24
8;2;54
9;2;44
10;2;68
11;2;51
12;2;120
13;2;253
14;2;102
15;2;157
16;2;417
17;2;187
18;2;284
19;2;707
20;2;758
22;2;713
24;2;1334
26;2;1044
28;2;4754
30;2;1633
35;2;2380
40;2;3500
5;2;12
6;2;27
7;2;22
8;2;35
9;2;50
10;2;57
11;2;111
12;2;90
13;2;148
14;2;175
15;2;301
16;2;791
17;2;646
18;2;288
19;2;635
20;2;925
22;2;874
24;2;1702
26;2;2013
28;2;1577
30;2;2178
35;2;4066
40;2;5516
5;2;15
6;2;34
7;2;29
8;2;88
9;2;86
10;2;100
11;2;145
12;2;214
13;2;189
14;2;254
15;2;438
16;2;336
17;2;197
18;2;475
19;2;464
20;2;810
22;2;1365
24;2;1161
26;2;1141
28;2;1298
30;2;1810
35;2;3701
40;2;5318
5;2;13
6;2;19
7;2;27
8;2;44
9;2;89
10;2;54
11;2;73
12;2;121
13;2;137
14;2;359
15;2;229
16;2;225
17;2;531
18;2;413
19;2;633
20;2;567
22;2;473
24;2;797
26;2;924
28;2;2333
30;2;2070
35;2;4302
40;2;7825
5;2;17
6;2;24
7;2;39
8;2;56
9;2;81
10;2;102
11;2;129
12;2;183
13;2;141
14;2;128
15;2;161
16;2;204
17;2;199
18;2;613
19;2;678
20;2;403
22;2;803
24;2;1116
26;2;2727
28;2;1177
30;2;3331
35;2;2347
40;2;6791
5;2;19
6;2;25
7;2;18
8;2;35
9;2;61
10;2;136
11;2;122
12;2;291
13;2;166
14;2;214
15;2;139
16;2;261
17;2;498
18;2;545
19;2;345
20;2;321
22;2;1305
24;2;1507
26;2;812
28;2;2175
30;2;2270
35;2;5834
40;2;6325
5;2;12
6;2;31
7;2;31
8;2;50
9;2;43
10;2;91
11;2;69
12;2;158
13;2;155
14;2;266
15;2;172
16;2;459
17;2;573
18;2;312
19;2;496
20;2;538
22;2;536
24;2;692
26;2;2535
28;2;2539
30;2;1564
35;2;1609
40;2;3663
5;2;11
6;2;27
7;2;22
8;2;54
9;2;37
10;2;71
11;2;114
12;2;200
13;2;280
14;2;118
15;2;355
16;2;299
17;2;248
18;2;592
19;2;748
20;2;1245
22;2;504
24;2;618
26;2;1411
28;2;2627
30;2;1589
35;2;6847
40;2;4883
5;2;15
6;2;16
7;2;37
8;2;28
9;2;48
10;2;112
11;2;80
12;2;103
13;2;100
14;2;87
15;2;218
16;2;323
17;2;180
18;2;928
19;2;184
20;2;895
22;2;712
24;2;985
26;2;877
28;2;1356
30;2;1926
35;2;4305
40;2;6145
5;2;19
6;2;19
7;2;37
8;2;43
9;2;41
10;2;44
11;2;87
12;2;85
13;2;80
14;2;139
15;2;175
16;2;153
17;2;259
18;2;370
19;2;456
20;2;578
22;2;956
24;2;887
26;2;1321
28;2;2725
30;2;2599
35;2;7432
40;2;7301
5;2;17
6;2;19
7;2;42
8;2;98
9;2;36
10;2;152
11;2;191
12;2;134
13;2;328
14;2;206
15;2;247
16;2;239
17;2;182
18;2;831
19;2;387
20;2;643
22;2;1106
24;2;2285
26;2;986
28;2;2265
30;2;3757
35;2;4165
40;2;4556
5;2;10
6;2;25
7;2;42
8;2;55
9;2;115
10;2;100
11;2;94
12;2;116
13;2;280
14;2;420
15;2;250
16;2;868
17;2;321
18;2;303
19;2;1266
20;2;929
22;2;581
24;2;1276
26;2;941
28;2;1443
30;2;1920
35;2;4558
40;2;4741
5;2;19
6;2;18
7;2;32
8;2;51
9;2;44
10;2;70
11;2;101
12;2;141
13;2;193
14;2;229
15;2;83
16;2;297
17;2;330
18;2;503
19;2;348
20;2;553
22;2;1486
24;2;2291
26;2;1894
28;2;2101
30;2;3777
35;2;3420
40;2;3973
5;2;18
6;2;23
7;2;33
8;2;95
9;2;46
10;2;92
11;2;164
12;2;93
13;2;176
14;2;210
15;2;347
16;2;337
17;2;345
18;2;316
19;2;1247
20;2;352
22;2;1027
24;2;602
26;2;1860
28;2;1726
30;2;2900
35;2;4399
40;2;6706
5;2;15
6;2;28
7;2;17
8;2;43
9;2;63
10;2;76
11;2;93
12;2;57
13;2;179
14;2;160
15;2;293
16;2;345
17;2;579
18;2;321
19;2;616
20;2;429
22;2;557
24;2;1260
26;2;958
28;2;2808
30;2;1258
35;2;4851
40;2;7060
5;2;16
6;2;20
7;2;19
8;2;46
9;2;55
10;2;73
11;2;122
12;2;252
13;2;100
14;2;195
15;2;175
16;2;159
17;2;498
18;2;381
19;2;316
20;2;780
22;2;785
24;2;781
26;2;2830
28;2;1965
30;2;1727
35;2;4141
40;2;6855
5;2;14
6;2;31
7;2;55
8;2;52
9;2;29
10;2;240
11;2;140
12;2;143
13;2;251
14;2;542
15;2;221
16;2;390
17;2;991
18;2;441
19;2;587
20;2;471
22;2;1026
24;2;1433
26;2;1646
28;2;1212
30;2;1602
35;2;2335
40;2;5492
5;2;16
6;2;31
7;2;36
8;2;53
9;2;58
10;2;58
11;2;60
12;2;172
13;2;158
14;2;157
15;2;794
16;2;239
17;2;664
18;2;399
19;2;609
20;2;637
22;2;488
24;2;497
26;2;1694
28;2;1641
30;2;1264
35;2;2857
40;2;4174
5;2;17
6;2;20
7;2;21
8;2;31
9;2;31
10;2;83
11;2;88
12;2;134
13;2;276
14;2;190
15;2;405
16;2;347
17;2;577
18;2;543
19;2;675
20;2;365
22;2;731
24;2;976
26;2;1335
28;2;1256
30;2;1907
35;2;5090
40;2;5213
5;2;11
6;2;16
7;2;28
8;2;46
9;2;34
10;2;60
11;2;113
12;2;155
13;2;184
14;2;333
15;2;170
16;2;234
17;2;356
18;2;365
19;2;584
20;2;495
22;2;954
24;2;1335
26;2;1491
28;2;1087
30;2;2146
35;2;3298
40;2;6585
5;2;17
6;2;38
7;2;45
8;2;46
9;2;94
10;2;73
11;2;56
12;2;134
13;2;131
14;2;369
15;2;164
16;2;482
17;2;411
18;2;775
19;2;504
20;2;476
22;2;1161
24;2;1010
26;2;1005
28;2;1514
30;2;1476
35;2;3248
40;2;3231
5;2;15
6;2;20
7;2;29
8;2;75
9;2;45
10;2;60
11;2;99
12;2;164
13;2;115
14;2;85
15;2;241
16;2;733
17;2;256
18;2;213
19;2;532
20;2;548
22;2;669
24;2;1198
26;2;1194
28;2;5067
30;2;2372
35;2;2314
40;2;6152
5;2;13
6;2;18
7;2;51
8;2;29
9;2;33
10;2;79
11;2;86
12;2;318
13;2;298
14;2;161
15;2;296
16;2;162
17;2;363
18;2;330
19;2;375
20;2;412
22;2;1334
24;2;1141
26;2;1781
28;2;2417
30;2;3617
35;2;3784
40;2;10108
5;2;16
6;2;31
7;2;36
8;2;46
9;2;88
10;2;48
11;2;118
12;2;127
13;2;204
14;2;315
15;2;293
16;2;300
17;2;685
18;2;642
19;2;682
20;2;700
22;2;600
24;2;1275
26;2;2047
28;2;1626
30;2;2269
35;2;3652
40;2;8373
5;2;16
6;2;28
7;2;29
8;2;37
9;2;72
10;2;77
11;2;105
12;2;128
13;2;80
14;2;499
15;2;144
16;2;207
17;2;186
18;2;809
19;2;392
20;2;713
22;2;1005
24;2;2153
26;2;1458
28;2;2197
30;2;2616
35;2;2209
40;2;8881
5;3;20
6;3;30
7;3;38
8;3;55
9;3;133
10;3;139
11;3;321
12;3;150
13;3;1875
14;3;462
15;3;492
16;3;524
17;3;239
18;3;1344
19;3;1132
20;3;1537
22;3;2797
24;3;6462
26;3;2151
28;3;3578
30;3;12406
5;3;19
6;3;27
7;3;19
8;3;73
9;3;62
10;3;116
11;3;119
12;3;260
13;3;313
14;3;317
15;3;420
16;3;665
17;3;1145
18;3;1661
19;3;1519
20;3;2096
22;3;4667
24;3;2050
26;3;6004
28;3;6705
30;3;6745
5;3;15
6;3;24
7;3;86
8;3;77
9;3;120
10;3;78
11;3;99
12;3;478
13;3;342
14;3;271
15;3;408
16;3;1272
17;3;2505
18;3;1079
19;3;2343
20;3;1064
22;3;3447
24;3;2640
26;3;3248
28;3;5364
30;3;7588
5;3;23
6;3;45
7;3;53
8;3;67
9;3;124
10;3;68
11;3;137
12;3;290
13;3;705
14;3;485
15;3;692
16;3;312
17;3;1009
18;3;1459
19;3;1381
20;3;1975
22;3;3503
24;3;3491
26;3;6453
28;3;6178
30;3;9868
5;3;13
6;3;32
7;3;53
8;3;39
9;3;216
10;3;161
11;3;331
12;3;141
13;3;307
14;3;491
15;3;526
16;3;593
17;3;395
18;3;706
19;3;973
20;3;1424
22;3;2221
24;3;4123
26;3;3211
28;3;22086
30;3;9486
5;3;15
6;3;60
7;3;40
8;3;46
9;3;81
10;3;265
11;3;246
12;3;200
13;3;360
14;3;568
15;3;175
16;3;780
17;3;557
18;3;767
19;3;691
20;3;1543
22;3;1590
24;3;1541
26;3;4141
28;3;4857
30;3;18547
5;3;18
6;3;29
7;3;56
8;3;60
9;3;120
10;3;65
11;3;103
12;3;163
13;3;529
14;3;1430
15;3;510
16;3;1454
17;3;1739
18;3;603
19;3;1238
20;3;1050
22;3;2237
24;3;2090
26;3;6403
28;3;4192
30;3;15511
5;3;18
6;3;28
7;3;43
8;3;92
9;3;84
10;3;131
11;3;244
12;3;214
13;3;252
14;3;417
15;3;409
16;3;1157
17;3;675
18;3;826
19;3;1524
20;3;2098
22;3;2226
24;3;4857
26;3;4286
28;3;5498
30;3;18851
5;3;23
6;3;44
7;3;56
8;3;52
9;3;101
10;3;211
11;3;191
12;3;191
13;3;286
14;3;484
15;3;446
16;3;587
17;3;718
18;3;2694
19;3;825
20;3;1633
22;3;2308
24;3;3618
26;3;7002
28;3;5783
30;3;7062
5;3;21
6;3;15
7;3;51
8;3;119
9;3;78
10;3;76
11;3;177
12;3;330
13;3;456
14;3;492
15;3;758
16;3;636
17;3;954
18;3;622
19;3;986
20;3;1627
22;3;1872
24;3;7115
26;3;10975
28;3;5609
30;3;16500
5;3;14
6;3;17
7;3;69
8;3;60
9;3;95
10;3;73
11;3;173
12;3;210
13;3;410
14;3;316
15;3;1140
16;3;741
17;3;592
18;3;1139
19;3;2309
20;3;2235
22;3;3202
24;3;2492
26;3;6180
28;3;10863
30;3;6772
5;3;16
6;3;34
7;3;37
8;3;72
9;3;121
10;3;93
11;3;139
12;3;230
13;3;211
14;3;296
15;3;472
16;3;1249
17;3;922
18;3;1161
19;3;1197
20;3;5039
22;3;1838
24;3;4746
26;3;5590
28;3;13425
30;3;15524
5;3;11
6;3;39
7;3;36
8;3;65
9;3;177
10;3;211
11;3;173
12;3;342
13;3;325
14;3;463
15;3;792
16;3;532
17;3;1006
18;3;1413
19;3;2660
20;3;1737
22;3;4372
24;3;2539
26;3;10657
28;3;8253
30;3;13600
5;3;12
6;3;17
7;3;43
8;3;42
9;3;77
10;3;105
11;3;133
12;3;132
13;3;239
14;3;408
15;3;158
16;3;798
17;3;1089
18;3;455
19;3;2095
20;3;2797
22;3;6028
24;3;5335
26;3;9283
28;3;3751
30;3;9992
5;3;18
6;3;28
7;3;85
8;3;38
9;3;136
10;3;122
11;3;160
