chub
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;5;0.50;2;0;42471;42545;0;0.167075
100;5;0.50;2;1;42471;42545;0;0.161044
100;5;0.50;2;2;42471;42545;1;0.151760
100;5;0.50;2;3;42471;42545;0;0.157230
100;5;0.50;2;4;42471;42545;7;0.156873
100;5;0.50;2;5;42471;42545;2;0.152852
100;5;0.50;2;6;42471;42545;8;0.165185
100;5;0.50;2;7;42471;42545;4;0.160993
100;5;0.50;2;8;42471;42545;0;0.142225
100;5;0.50;2;9;42471;42545;2;0.157822
100;5;0.50;3;0;41918;41968;0;0.124489
100;5;0.50;3;1;41918;41968;0;0.119260
100;5;0.50;3;2;41918;41968;0;0.135550
100;5;0.50;3;3;41918;41968;0;0.121752
100;5;0.50;3;4;41918;41968;2;0.123858
100;5;0.50;3;5;41918;41968;2;0.139626
100;5;0.50;3;6;41918;41968;0;0.121276
100;5;0.50;3;7;41918;41968;5;0.130862
100;5;0.50;3;8;41918;41968;0;0.134360
100;5;0.50;3;9;41918;41968;2;0.167504
100;5;0.50;4;0;45006;45090;0;0.134929
100;5;0.50;4;1;45006;45090;1;0.138811
100;5;0.50;4;2;45006;45090;0;0.140201
100;5;0.50;4;3;45006;45090;0;0.151157
100;5;0.50;4;4;45006;45090;3;0.138440
100;5;0.50;4;5;45006;45090;1;0.128161
100;5;0.50;4;6;45006;45090;1;0.128458
100;5;0.50;4;7;45006;45090;0;0.127256
100;5;0.50;4;8;45006;45090;1;0.130254
100;5;0.50;4;9;45006;45090;0;0.127753
100;5;0.50;5;0;42123;42218;0;0.131361
100;5;0.50;5;1;42123;42218;3;0.126974
100;5;0.50;5;2;42123;42218;2;0.125495
100;5;0.50;5;3;42123;42218;2;0.131201
100;5;0.50;5;4;42123;42218;4;0.125760
100;5;0.50;5;5;42123;42218;0;0.117748
100;5;0.50;5;6;42123;42218;3;0.119470
100;5;0.50;5;7;42123;42218;1;0.123751
100;5;0.50;5;8;42123;42218;0;0.128264
100;5;0.50;5;9;42123;42218;2;0.122767
100;5;0.50;6;0;42927;42927;0;0.123096
100;5;0.50;6;1;42927;42927;0;0.121455
100;5;0.50;6;2;42927;42927;0;0.120642
100;5;0.50;6;3;42927;42927;0;0.120509
100;5;0.50;6;4;42927;42927;0;0.126834
100;5;0.50;6;5;42927;42927;0;0.144686
100;5;0.50;6;6;42927;42927;0;0.135779
100;5;0.50;6;7;42927;42927;0;0.139644
100;5;0.50;6;8;42927;42927;0;0.134848
100;5;0.50;6;9;42927;42927;0;0.128847
100;5;0.50;7;0;41980;42009;0;0.145332
100;5;0.50;7;1;41980;42009;0;0.139104
100;5;0.50;7;2;41980;42009;0;0.151076
100;5;0.50;7;3;41980;42009;1;0.134711
100;5;0.50;7;4;41980;42009;3;0.136546
100;5;0.50;7;5;41980;42009;2;0.134603
100;5;0.50;7;6;41980;42009;0;0.144968
100;5;0.50;7;7;41980;42009;0;0.135208
100;5;0.50;7;8;41980;42009;0;0.125658
100;5;0.50;7;9;41980;42009;0;0.125165
100;5;0.50;8;0;44828;45020;0;0.208668
100;5;0.50;8;1;44828;45020;0;0.158906
100;5;0.50;8;2;44828;45020;0;0.145774
100;5;0.50;8;3;44828;45020;1;0.145251
100;5;0.50;8;4;44828;45020;0;0.172011
100;5;0.50;8;5;44828;45020;6;0.154410
100;5;0.50;8;6;44828;45020;0;0.149680
