classe;np;n;i;pidb;nnodesb;compb;timeb;maxndb;hvb;pid0;time0;nsol0;hv0;comp0;pid2;time2;nsol2;hv2;comp2;
B;2;300;8;253542;15;39602213;205.368;20574;1.766e+10;253552;14.967;13;1.765e+10;304808589;253553;41.369;13;1.765e+10;104322782;
B;2;400;1;253565;20;187405654;1649.828;62581;2.925e+10;253624;16.943;12;2.916e+10;298235512;253625;43.004;12;2.916e+10;90755594;
B;2;400;9;253637;46;148865700;1044.309;53379;3.148e+10;253674;17.601;16;3.140e+10;326683960;253678;44.967;16;3.140e+10;83704697;
B;2;500;3;253689;48;221311872;2045.583;63412;4.864e+10;253766;18.083;18;4.849e+10;299859889;253768;45.423;18;4.849e+10;78395713;
C;2;100;1;253983;622;91037343;5169.728;128485;1.493e+09;254190;10.056;226;1.379e+09;243026616;254191;13.573;226;1.379e+09;44737070;
D;2;50;1;254183;527;31525702;1569.012;88403;2.915e+08;254254;9.963;352;2.734e+08;261690418;254255;5.657;352;2.734e+08;57754387;
D;2;50;4;254202;530;40384432;2432.611;104915;2.794e+08;254320;9.793;231;2.658e+08;262928449;254321;6.147;231;2.658e+08;59777321;
D;2;50;9;254268;542;42048465;3104.358;106301;2.939e+08;254431;9.448;245;2.761e+08;265402887;254432;5.117;245;2.761e+08;59779199;
A;2;100;2;254607;108;10756139;34.267;15218;1.662e+09;254622;10.129;51;1.619e+09;257992595;254624;15.493;51;1.619e+09;68674593;
A;2;100;0;254587;143;13147997;57.597;16758;1.568e+09;254626;9.818;65;1.505e+09;244936803;254627;15.360;65;1.505e+09;55399555;
A;2;100;3;254618;139;13652547;64.663;20000;1.618e+09;254641;9.595;48;1.563e+09;242601695;254653;15.993;48;1.563e+09;131313296;
A;2;100;4;254638;137;11434771;35.332;18471;1.661e+09;254666;9.959;91;1.618e+09;242079970;254683;16.197;91;1.618e+09;46809029;
A;2;100;1;254597;192;25719749;171.589;36455;1.513e+09;254839;10.046;80;1.467e+09;251411066;254840;16.378;80;1.467e+09;74409407;
A;2;100;7;254652;256;27996835;285.466;35847;1.299e+09;254947;10.276;67;1.229e+09;251896022;254951;14.277;67;1.229e+09;57139280;
A;2;60;8;254964;59;1372537;1.416;3489;6.126e+08;254966;9.274;32;5.973e+08;243687818;254968;15.048;32;5.973e+08;101875214;
A;2;80;3;254980;109;5434379;13.764;9351;1.015e+09;254983;9.553;47;9.913e+08;246199870;254984;15.241;47;9.913e+08;114401377;
A;2;120;0;254664;225;37076481;561.662;50126;2.311e+09;255034;10.118;69;2.241e+09;245853678;255036;16.362;69;2.241e+09;77836244;
A;2;120;1;254762;239;53358270;788.588;59106;2.232e+09;255072;10.267;90;2.140e+09;247255433;255073;16.690;90;2.140e+09;55639254;
A;2;120;7;254854;322;74195773;2936.575;79163;1.956e+09;255196;10.278;105;1.849e+09;248915545;255197;15.548;105;1.849e+09;59225384;
B;2;100;0;255264;15;602904;0.477;1324;1.663e+09;255266;10.252;8;1.661e+09;250816970;255267;33.244;8;1.661e+09;193898734;
B;2;100;2;255301;2;379816;0.319;912;1.694e+09;255303;9.613;2;1.696e+09;234226373;255317;33.285;2;1.696e+09;217650048;
B;2;100;3;255314;3;102862;0.064;344;2.046e+09;255316;10.401;3;2.046e+09;261384495;255318;32.073;3;2.046e+09;122546555;
B;2;100;5;255330;3;282720;0.200;676;1.817e+09;255332;9.982;2;1.819e+09;237248407;255349;34.730;2;1.819e+09;270259581;
B;2;200;1;255393;8;8052115;19.023;8758;6.680e+09;255406;12.325;5;6.680e+09;272314946;255409;37.214;5;6.680e+09;165973203;
B;2;200;2;255404;6;7063755;17.749;6176;7.805e+09;255408;11.649;2;7.804e+09;258277944;255411;37.955;2;7.804e+09;242930389;
B;2;200;4;255423;7;3438765;5.396;2561;7.744e+09;255436;11.749;2;7.747e+09;252357421;255437;37.347;2;7.747e+09;218761532;
B;2;200;5;255434;14;7298339;14.573;6639;6.394e+09;255439;12.557;9;6.390e+09;273944975;255441;35.839;9;6.390e+09;117802608;
B;2;200;7;255453;10;5329798;10.676;4924;7.634e+09;255455;13.120;8;7.635e+09;292554130;255467;36.575;8;7.635e+09;101189996;
B;2;200;8;255466;6;6439269;13.859;5122;8.375e+09;255469;11.712;3;8.370e+09;255867702;255472;37.008;3;8.370e+09;164393797;
B;2;300;0;255484;14;24630921;79.854;12011;1.655e+10;255499;13.845;5;1.652e+10;269019567;255501;39.703;5;1.652e+10;171269416;
B;2;300;3;255590;16;18383334;61.194;9305;1.693e+10;255594;13.313;9;1.690e+10;263264940;255595;40.427;9;1.690e+10;213389318;
B;2;300;1;255495;27;50813292;261.108;26038;1.547e+10;255612;14.608;8;1.546e+10;300045148;255613;39.878;8;1.546e+10;140845752;
B;2;300;6;255625;18;31760704;134.200;15111;1.683e+10;255633;14.724;10;1.682e+10;299299611;255634;40.044;10;1.682e+10;103690703;
B;2;300;5;255608;32;49341338;238.997;23902;1.533e+10;255636;14.927;15;1.531e+10;297511045;255637;40.542;15;1.531e+10;87043340;
B;2;300;9;255650;25;40116747;154.108;19105;1.747e+10;255669;15.087;10;1.746e+10;302320195;255670;41.878;10;1.746e+10;116193506;
B;2;400;2;255682;29;120184035;982.621;48483;2.969e+10;255723;16.011;11;2.965e+10;295429922;255725;42.693;11;2.965e+10;94144498;
B;2;400;0;255661;45;225668121;1825.173;71517;2.864e+10;255758;15.762;10;2.860e+10;281462919;255760;42.016;10;2.860e+10;122429911;
B;2;400;7;255737;47;221791565;1859.545;72234;3.052e+10;255815;17.237;20;3.048e+10;309923676;255817;43.921;20;3.048e+10;69668280;
C;2;100;0;256277;440;44309591;1101.306;64792;1.531e+09;256323;9.957;162;1.425e+09;251695144;256324;13.705;162;1.425e+09;43727009;
C;2;100;5;256335;546;55950763;1384.163;70649;1.558e+09;256398;9.959;180;1.455e+09;251440622;256401;13.312;180;1.455e+09;57675079;
C;2;60;0;256412;148;2971576;4.391;7073;5.858e+08;256414;9.362;80;5.647e+08;245764541;256415;12.203;80;5.647e+08;52739650;
C;2;60;2;256426;185;4055394;8.973;9556;6.022e+08;256428;9.415;105;5.811e+08;248577617;256430;12.509;105;5.811e+08;55571993;
C;2;60;4;256441;208;4603905;8.621;10957;5.391e+08;256444;9.201;107;5.215e+08;247924348;256445;11.960;107;5.215e+08;54542669;
C;2;60;5;256456;194;4496348;9.789;11363;5.571e+08;256458;9.404;104;5.358e+08;248373269;256461;12.050;104;5.358e+08;55612797;
C;2;60;7;256472;292;11895507;88.831;26238;5.191e+08;256478;9.410;111;4.787e+08;252221921;256480;10.521;111;4.787e+08;52709972;
C;2;100;6;256347;510;56481347;2361.387;81667;1.587e+09;256519;10.204;203;1.477e+09;246968711;256520;14.069;203;1.477e+09;44266176;
C;2;80;0;256491;382;36441276;1210.091;60959;9.826e+08;256553;9.563;158;9.180e+08;249827232;256555;12.114;158;9.180e+08;48188848;
D;2;20;0;256970;110;318318;0.438;3471;4.187e+07;256972;8.565;108;4.187e+07;243260061;256974;3.413;108;4.187e+07;52464521;
D;2;20;2;256985;146;264949;0.190;2639;4.723e+07;256987;8.691;143;4.723e+07;246101523;256990;3.323;143;4.723e+07;51902400;
D;2;20;4;257001;205;314895;0.204;2704;4.298e+07;257003;8.982;204;4.297e+07;252231805;257005;3.669;204;4.297e+07;57853084;
D;2;20;6;257017;162;483526;0.745;4359;4.157e+07;257019;9.099;154;4.157e+07;260448918;257034;3.554;154;4.157e+07;57948495;
