classe;np;n;i;pidb;nnodesb;compb;timeb;maxndb;hvb;pid0;time0;nsol0;hv0;comp0;pid2;time2;nsol2;hv2;comp2;pid3;time3;nsol3;hv3;comp3
B;3;300;9;256162;250;257525653;1111.126;113218;2.069e+15;256222;12.238;23;2.060e+15;230703552;256223;26.435;23;2.060e+15;177581927;256225;26.645;23;2.060e+15;177581927
A;3;80;1;255085;3133;138321634;13615.718;297991;3.364e+13;256262;9.722;520;3.170e+13;221290178;256264;11.526;520;3.170e+13;124188013;256265;11.549;520;3.170e+13;124188013
C;3;20;0;256566;234;86295;0.030;969;1.168e+11;256568;8.779;234;1.168e+11;234177673;256569;5.236;234;1.168e+11;127150837;256570;5.199;234;1.168e+11;127150837
C;3;20;1;256581;283;107447;0.043;1197;1.118e+11;256583;9.057;283;1.118e+11;237949551;256599;5.369;283;1.118e+11;134967742;256601;5.241;283;1.118e+11;134967742
C;3;20;2;256596;336;140337;0.059;1572;1.397e+11;256598;9.089;335;1.397e+11;228954237;256600;5.306;335;1.397e+11;133119184;256602;5.312;335;1.397e+11;133119184
C;3;20;3;256613;177;80876;0.026;905;9.970e+10;256615;9.050;177;9.970e+10;236222844;256629;5.096;177;9.970e+10;106821828;256631;5.074;177;9.970e+10;106821828
C;3;20;4;256626;133;69779;0.024;834;9.706e+10;256628;8.861;131;9.705e+10;244125562;256630;5.566;131;9.705e+10;162395825;256632;5.533;131;9.705e+10;162395825
C;3;20;5;256643;366;194882;0.087;2018;1.173e+11;256645;9.127;366;1.173e+11;242610119;256659;5.176;366;1.173e+11;162569267;256661;5.203;366;1.173e+11;162569267
C;3;20;6;256656;211;155254;0.063;1598;1.118e+11;256658;8.609;208;1.118e+11;233247742;256660;4.349;208;1.118e+11;110431931;256662;4.341;208;1.118e+11;110431931
C;3;20;7;256673;311;240754;0.111;2769;1.226e+11;256675;8.985;311;1.226e+11;238902606;256690;5.095;311;1.226e+11;157365205;256692;5.080;311;1.226e+11;157365205
C;3;20;8;256687;160;178550;0.077;1878;1.298e+11;256689;8.773;160;1.298e+11;240483027;256691;4.014;160;1.298e+11;95640790;256693;3.975;160;1.298e+11;95640790
C;3;20;9;256709;102;84356;0.028;938;1.136e+11;256711;8.972;102;1.136e+11;234063105;256722;5.038;102;1.136e+11;113444501;256724;4.990;102;1.136e+11;113444501
C;3;30;0;256719;498;490684;0.249;2850;4.982e+11;256721;9.036;349;4.845e+11;232775159;256723;7.275;349;4.845e+11;103129347;256725;7.381;349;4.845e+11;103129347
C;3;30;1;256736;767;1345179;1.583;7746;4.255e+11;256738;9.361;494;4.130e+11;226744140;256752;7.690;494;4.130e+11;137075517;256754;7.569;494;4.130e+11;137075517
C;3;30;2;256749;679;1502333;1.934;8381;4.862e+11;256751;8.875;385;4.769e+11;226505212;256753;7.802;385;4.769e+11;133702537;256756;7.781;385;4.769e+11;133702537
C;3;30;3;256767;646;1919561;2.076;15999;3.283e+11;256769;9.304;479;3.218e+11;228508511;256783;6.588;479;3.218e+11;104578429;256785;6.456;479;3.218e+11;104578429
C;3;30;4;256780;729;1338841;1.427;9393;3.418e+11;256782;9.780;491;3.330e+11;229084684;256784;6.953;491;3.330e+11;134825614;256786;6.898;491;3.330e+11;134825614
C;3;30;5;256798;1896;3159883;5.675;19218;3.972e+11;256803;9.362;826;3.744e+11;231341998;256814;7.855;826;3.744e+11;190239447;256816;8.150;826;3.744e+11;190239447
C;3;30;6;256811;1324;2989422;4.561;18261;4.479e+11;256813;9.544;572;4.351e+11;231545418;256815;6.014;572;4.351e+11;145021588;256817;5.928;572;4.351e+11;145021588
C;3;30;8;256840;1034;2036126;1.845;12618;4.540e+11;256842;10.090;442;4.358e+11;235902167;256845;5.750;442;4.358e+11;112181155;256847;5.782;442;4.358e+11;112181155
C;3;30;7;256829;1744;3227997;3.723;19228;4.087e+11;256844;10.381;948;4.012e+11;231381342;256846;6.495;948;4.012e+11;150572852;256848;6.449;948;4.012e+11;150572852
C;3;30;9;256859;688;1562104;1.324;10920;4.558e+11;256864;9.334;468;4.418e+11;227221721;256875;7.116;468;4.418e+11;135282265;256878;6.996;468;4.418e+11;135282265
C;3;40;0;256872;1124;4053821;5.439;15911;1.199e+12;256874;9.395;359;1.135e+12;232250410;256877;8.957;359;1.135e+12;183751776;256890;9.011;359;1.135e+12;183751776
C;3;40;2;256889;1759;8575439;36.858;32709;1.206e+12;256905;9.172;521;1.143e+12;226290381;256906;8.640;521;1.143e+12;132549186;256907;8.664;521;1.143e+12;132549186
C;3;40;3;256903;2772;13934972;59.469;58477;8.375e+11;256922;9.742;608;7.956e+11;227409526;256923;7.254;608;7.956e+11;130645562;256924;7.268;608;7.956e+11;130645562
C;3;40;6;256935;3244;19579783;117.455;68761;9.795e+11;256943;9.776;696;9.092e+11;226448542;256946;6.781;696;9.092e+11;126183985;256947;6.705;696;9.092e+11;126183985
C;3;40;5;256918;3373;19510474;147.534;76651;1.098e+12;256941;9.661;894;1.008e+12;226622416;256945;8.841;894;1.008e+12;168138542;256948;8.802;894;1.008e+12;168138542
C;3;40;9;256959;1958;10225751;25.525;42779;9.833e+11;256989;9.566;683;9.315e+11;225968319;257004;7.100;683;9.315e+11;122444361;257006;7.195;683;9.315e+11;122444361
D;3;20;0;257324;3917;2214705;4.050;23268;7.076e+10;257326;14.089;3070;7.061e+10;334354230;257328;9.096;3070;7.061e+10;309240864;257329;9.082;3070;7.061e+10;309240864
D;3;20;1;257341;2798;2102026;3.633;20903;8.981e+10;257343;13.765;2320;8.905e+10;329572137;257345;7.700;2320;8.905e+10;280101489;257346;7.752;2320;8.905e+10;280101489
D;3;20;2;257358;5944;1901894;2.819;20661;1.067e+11;257360;15.755;4379;1.049e+11;380298061;257361;14.335;4379;1.049e+11;454427861;257362;14.361;4379;1.049e+11;454427861
D;3;20;3;257374;1248;1299568;1.447;13494;6.946e+10;257376;10.522;1116;6.937e+10;255392671;257378;5.191;1116;6.937e+10;170924722;257379;5.181;1116;6.937e+10;170924722
D;3;20;4;257390;6033;2168155;3.353;21773;7.067e+10;257392;14.108;4671;7.050e+10;354373217;257393;9.674;4671;7.050e+10;304084525;257394;9.634;4671;7.050e+10;304084525
D;3;20;5;257405;2759;1743092;3.367;17945;9.302e+10;257408;13.213;2336;9.231e+10;302514684;257410;9.654;2336;9.231e+10;340736913;257411;10.142;2336;9.231e+10;340736913
D;3;20;6;257422;7411;3466505;7.951;31769;8.469e+10;257424;15.622;4719;8.402e+10;388646386;257425;10.132;4719;8.402e+10;273428814;257427;9.785;4719;8.402e+10;273428814
D;3;20;7;257439;3499;2496077;5.032;26297;9.548e+10;257441;13.647;2875;9.489e+10;318588667;257442;9.318;2875;9.489e+10;320004719;257443;9.307;2875;9.489e+10;320004719
D;3;20;8;257454;3980;2520680;5.060;28069;9.100e+10;257456;12.495;3168;9.055e+10;313195515;257459;6.791;3168;9.055e+10;206932582;257460;6.787;3168;9.055e+10;206932582
D;3;20;9;257472;2357;1961030;2.498;21469;8.005e+10;257474;11.936;1894;7.985e+10;299262430;257475;8.066;1894;7.985e+10;297629641;257476;8.706;1894;7.985e+10;297629641
D;3;30;0;257487;7513;52615550;1505.782;282144;2.596e+11;257544;10.602;1761;2.461e+11;259964365;257545;5.822;1761;2.461e+11;182280295;257546;5.533;1761;2.461e+11;182280295
A;3;90;7;255208;4130;223434333;21306.635;391949;4.459e+13;257610;10.161;476;4.089e+13;225287694;257612;10.786;476;4.089e+13;124192550;257613;10.620;476;4.089e+13;124192550
D;3;30;7;257557;13576;63823807;1989.695;328404;3.103e+11;257643;11.898;2672;2.870e+11;301723048;257644;8.028;2672;2.870e+11;286377887;257645;7.980;2672;2.870e+11;286377887
